Date,equity,position
2008-08-08,5242231.0,0
2008-08-11,5242231.0,0
2008-08-12,5242231.0,0
2008-08-13,5242231.0,0
2008-08-14,5242231.0,0
2008-08-15,5170360.0,10415481
2008-08-18,4988786.0,10415481
2008-08-19,4802110.0,10415481
2008-08-20,4825513.0,10415481
2008-08-21,4756750.0,10415481
2008-08-22,4944406.0,10415481
2008-08-25,4630911.0,10415481
2008-08-26,4611892.0,10415481
2008-08-27,4700215.0,10415481
2008-08-28,4813775.0,10415481
2008-08-29,4509174.0,10415481
2008-09-02,4714972.0,0
2008-09-03,4714972.0,0
2008-09-04,4714972.0,0
2008-09-05,4714972.0,0
2008-09-08,4714972.0,0
2008-09-09,4714972.0,0
2008-09-10,4714972.0,0
2008-09-11,4714972.0,0
2008-09-12,4714972.0,0
2008-09-15,4714972.0,0
2008-09-16,4714972.0,0
2008-09-17,4714972.0,0
2008-09-18,4714972.0,0
2008-09-19,4714972.0,0
2008-09-22,4714972.0,0
2008-09-23,4714972.0,0
2008-09-24,4714972.0,0
2008-09-25,4714972.0,0
2008-09-26,4714972.0,0
2008-09-29,4714972.0,0
2008-09-30,4714972.0,0
2008-10-01,4714972.0,0
2008-10-02,4714972.0,0
2008-10-03,4714972.0,0
2008-10-06,4714972.0,0
2008-10-07,4714972.0,0
2008-10-08,4714972.0,0
2008-10-09,4714972.0,0
2008-10-10,4714972.0,0
2008-10-13,4714972.0,0
2008-10-14,4714972.0,0
2008-10-15,4714972.0,0
2008-10-16,4714972.0,0
2008-10-17,4714972.0,0
2008-10-20,4714972.0,0
2008-10-21,4714972.0,0
2008-10-22,4714972.0,0
2008-10-23,4714972.0,0
2008-10-24,4714972.0,0
2008-10-27,4714972.0,0
2008-10-28,4714972.0,0
2008-10-29,4714972.0,0
2008-10-30,4714972.0,0
2008-10-31,4714972.0,0
2008-11-03,4714972.0,0
2008-11-04,4714972.0,0
2008-11-05,4714972.0,0
2008-11-06,4714972.0,0
2008-11-07,4714972.0,0
2008-11-10,4714972.0,0
2008-11-11,4714972.0,0
2008-11-12,4714972.0,0
2008-11-13,4714972.0,0
2008-11-14,4714972.0,0
2008-11-17,4714972.0,0
2008-11-18,4714972.0,0
2008-11-19,4714972.0,0
2008-11-20,4714972.0,0
2008-11-21,4714972.0,0
2008-11-24,4714972.0,0
2008-11-25,4714972.0,0
2008-11-26,4714972.0,0
2008-11-28,4714972.0,0
2008-12-01,4714972.0,0
2008-12-02,4714972.0,0
2008-12-03,4714972.0,0
2008-12-04,4714972.0,0
2008-12-05,4714972.0,0
