Date,equity,cash,rebalanced,qqq_value,qqq_weight,qqq_signal,tqqq_value,tqqq_weight,tqqq_signal,drawdown_pct
2005-12-16,11578516,13,False,5475771,0.4729,buy,6102732,0.5271,buy,-2.36
2005-12-19,11198232,13,False,5388852,0.4812,buy,5809366,0.5188,buy,-5.57
2005-12-20,11212364,13,False,5392806,0.481,buy,5819545,0.519,buy,-5.45
2005-12-21,11310190,13,False,5416511,0.4789,buy,5893665,0.5211,buy,-4.62
2005-12-22,11459144,13,False,5452064,0.4758,buy,6007066,0.5242,buy,-3.37
2005-12-23,11456439,13,False,5452064,0.4759,buy,6004361,0.5241,buy,-3.39
2005-12-27,11249696,13,False,5404656,0.4804,buy,5845027,0.5196,buy,-5.13
2005-12-28,11219115,13,False,5398073,0.4811,buy,5821029,0.5188,buy,-5.39
2005-12-29,11065903,13,False,5362515,0.4846,buy,5703375,0.5154,buy,-6.68
2005-12-30,10892246,13,False,5321689,0.4886,buy,5570544,0.5114,buy,-8.15
2006-01-03,11380382,13,False,5440213,0.478,buy,5940156,0.522,buy,-4.03
2006-01-04,11619754,13,False,5496842,0.4731,buy,6122899,0.5269,buy,-2.01
2006-01-05,11719820,13,False,5520545,0.471,buy,6199261,0.529,buy,-1.17
2006-01-06,12154195,13,False,5620632,0.4624,buy,6533549,0.5376,buy,0.0
2006-01-09,12251616,13,False,5643017,0.4606,buy,6608585,0.5394,buy,0.0
2006-01-10,12266391,13,False,5646972,0.4604,buy,6619405,0.5396,buy,0.0
2006-01-11,12459581,13,False,5690427,0.4567,buy,6769141,0.5433,buy,0.0
2006-01-12,12330093,13,False,5662773,0.4593,buy,6667307,0.5407,buy,-1.04
2006-01-13,12315061,13,False,5660140,0.4596,buy,6654908,0.5404,buy,-1.16
2006-01-17,12145030,13,False,5623266,0.463,buy,6521750,0.537,buy,-2.52
2006-01-18,11852950,13,False,5558736,0.469,buy,6294200,0.531,buy,-4.87
2006-01-19,12029521,13,False,5599560,0.4655,buy,6429947,0.5345,buy,-3.45
2006-01-20,11283129,13,False,5432310,0.4815,buy,5850805,0.5185,buy,-9.44
2006-01-23,11285982,13,False,5433627,0.4814,buy,5852342,0.5185,buy,-9.42
2006-01-24,11383554,13,False,5457331,0.4794,buy,5926210,0.5206,buy,-8.64
2006-01-25,11279877,13,False,5433627,0.4817,buy,5846237,0.5183,buy,-9.47
2006-01-26,11438628,13,False,5471819,0.4784,buy,5966796,0.5216,buy,-8.19
2006-01-27,11750850,13,False,5545566,0.4719,buy,6205271,0.5281,buy,-5.69
2006-01-30,11793866,13,False,5556100,0.4711,buy,6237752,0.5289,buy,-5.34
2006-01-31,11681686,13,False,5531082,0.4735,buy,6150591,0.5265,buy,-6.24
2006-02-01,11764339,13,False,5550834,0.4718,buy,6213491,0.5282,buy,-5.58
2006-02-02,11348060,13,False,5456013,0.4808,buy,5892033,0.5192,buy,-8.92
2006-02-03,11060443,13,False,5388852,0.4872,buy,5671578,0.5128,buy,-11.23
2006-02-06,10997469,13,False,5374368,0.4887,buy,5623087,0.5113,buy,-11.73
2006-02-07,10896611,13,False,5350662,0.491,buy,5545935,0.509,buy,-12.54
2006-02-08,11148269,13,False,5412557,0.4855,buy,5735699,0.5145,buy,-10.52
2006-02-09,10930827,13,False,5361196,0.4905,buy,5569618,0.5095,buy,-12.27
2006-02-10,11063660,13,False,5394121,0.4876,buy,5669525,0.5124,buy,-11.2
2006-02-13,10803832,13,False,5332225,0.4935,buy,5471594,0.5064,buy,-13.29
2006-02-14,11021384,13,False,5386221,0.4887,buy,5635149,0.5113,buy,-11.54
2006-02-15,11160341,13,False,5420460,0.4857,buy,5739867,0.5143,buy,-10.43
2006-02-16,11366560,13,False,5470503,0.4813,buy,5896044,0.5187,buy,-8.77
2006-02-17,11179701,13,False,5427042,0.4854,buy,5752645,0.5146,buy,-10.27
2006-02-21,10923699,13,False,5366467,0.4913,buy,5557219,0.5087,buy,-12.33
2006-02-22,11196789,13,False,5433627,0.4853,buy,5763149,0.5147,buy,-10.14
2006-02-23,11133402,13,False,5419140,0.4867,buy,5714248,0.5133,buy,-10.64
2006-02-24,11190927,13,False,5433627,0.4855,buy,5757287,0.5145,buy,-10.18
2006-02-27,11441271,13,False,5494208,0.4802,buy,5947050,0.5198,buy,-8.17
2006-02-28,11091579,13,False,5412557,0.488,buy,5679009,0.512,buy,-10.98
2006-03-01,11394634,13,False,5486305,0.4815,buy,5908316,0.5185,buy,-8.55
2006-03-02,11408406,13,False,5490256,0.4812,buy,5918136,0.5188,buy,-8.44
2006-03-03,11271641,13,False,5458651,0.4843,buy,5812977,0.5157,buy,-9.53
