Date,equity,cash,rebalanced,rebalance_reason,sso_value,sso_weight,sso_signal,sso_shares,sso_avg_price,sso_realized_pnl,sso_unrealized_pnl,qld_value,qld_weight,qld_signal,qld_shares,qld_avg_price,qld_realized_pnl,qld_unrealized_pnl,gld_value,gld_weight,gld_signal,gld_shares,gld_avg_price,gld_realized_pnl,gld_unrealized_pnl,tlt_value,tlt_weight,tlt_signal,tlt_shares,tlt_avg_price,tlt_realized_pnl,tlt_unrealized_pnl,drawdown_pct,sso_current_price,sso_return_pct,sso_contribution,qld_current_price,qld_return_pct,qld_contribution,gld_current_price,gld_return_pct,gld_contribution,tlt_current_price,tlt_return_pct,tlt_contribution,total_pnl,total_return_pct
2025-07-25,103615552,338,False,,37310889,0.3601,buy,725964,44.735928,26125059,4834216,37858542,0.3654,buy,613849,52.906611,47303616,5381871,14365417,0.1386,buy,46732,180.878339,5093712,5912610,14080367,0.1359,buy,168421,96.619229,1156808,-2192340,-16.81,51.394958,14.885193796628515,30959275,61.67403,16.571499704942248,52685488,307.399994,69.94848382053054,11006322,83.602203,-13.472500005254284,-1035533,93615552.22377829,936.1555222377829
2025-07-28,103648883,338,False,,37289236,0.3598,buy,725964,44.735928,26125059,4812562,38097751,0.3676,buy,613849,52.906611,47303616,5621080,14272420,0.1377,buy,46732,180.878339,5093712,5819614,13989138,0.135,buy,168421,96.619229,1156808,-2283569,-16.78,51.365131,14.81852031719162,30937621,62.063717,17.30805604811487,52924697,305.410004,68.84830233087828,10913326,83.060532,-14.033124435804933,-1126761,93648882.88664228,936.4888288664228
2025-07-29,103605193,338,False,,37083541,0.3579,buy,725964,44.735928,26125059,4606868,37984279,0.3666,buy,613849,52.906611,47303616,5507608,14311675,0.1381,buy,46732,180.878339,5093712,5858868,14225359,0.1373,buy,168421,96.619229,1156808,-2047348,-16.82,51.081791,14.185159145647596,30731927,61.87886400000001,16.958661149890197,52811225,306.25,69.31270066985581,10952581,84.463097,-12.581482748442562,-890540,93605192.5106223,936.0519251062228
2025-07-30,103290601,338,False,,37000536,0.3582,buy,725964,44.735928,26125059,4523863,38073214,0.3686,buy,613849,52.906611,47303616,5596544,14064462,0.1362,buy,46732,180.878339,5093712,5611656,14152050,0.137,buy,168421,96.619229,1156808,-2120657,-17.07,50.967453,13.92957486657651,30648921,62.023746,17.232505943561872,52900161,300.959991,66.38807794215676,10705368,84.027824,-13.031986241815973,-963849,93290601.09508729,932.9060109508729
2025-07-31,102662261,338,False,,36693794,0.3574,buy,725964,44.735928,26125059,4217120,37650006,0.3667,buy,613849,52.906611,47303616,5173336,14157926,0.1379,buy,46732,180.878339,5093712,5705120,14160197,0.1379,buy,168421,96.619229,1156808,-2112510,-17.57,50.544922,12.985074516560013,30342179,61.334312,15.929390915606367,52476952,302.959991,67.49379353836807,10798832,84.076195,-12.981922708176253,-955702,92662261.12092829,926.6226112092829
2025-08-01,100432134,338,False,,35477641,0.3532,buy,725964,44.735928,26125059,3000968,36147322,0.3599,buy,613849,52.906611,47303616,3670651,14445328,0.1438,buy,46732,180.878339,5093712,5992521,14361505,0.143,buy,168421,96.619229,1156808,-1911202,-19.36,48.869698,9.2403796791255,29126027,58.886341,11.302424740310112,50974268,309.109985,70.89386567957101,11086234,85.271461,-11.744833551462042,-754394,90432133.66920729,904.3213366920728
2025-08-04,102951570,338,False,,36545834,0.355,buy,725964,44.735928,26125059,4069160,37475202,0.364,buy,613849,52.906611,47303616,4998532,14529446,0.1411,buy,46732,180.878339,5093712,6076640,14400750,0.1399,buy,168421,96.619229,1156808,-1871957,-17.34,50.34111,12.52948544655672,30194219,61.049544999999995,15.391146272658961,52302148,310.910004,71.88902022045937,11170352,85.504478,-11.503663130794106,-715149,92951569.86663629,929.5156986663629
2025-08-05,102131876,338,False,,36188571,0.3543,buy,725964,44.735928,26125059,3711897,36956933,0.3619,buy,613849,52.906611,47303616,4480262,14541129,0.1424,buy,46732,180.878339,5093712,6088323,14444906,0.1414,buy,168421,96.619229,1156808,-1827801,-18.0,49.848988,11.429425566332952,29836956,60.20524999999999,13.795324914084151,51783879,311.160004,72.02723466998577,11182035,85.766655,-11.232312382224451,-670993,92131876.48209028,921.3187648209027
2025-08-06,103477327,338,False,,36719056,0.3549,buy,725964,44.735928,26125059,4242382,37886143,0.3661,buy,613849,52.906611,47303616,5409472,14510286,0.1402,buy,46732,180.878339,5093712,6057479,14361505,0.1388,buy,168421,96.619229,1156808,-1911202,-16.92,50.579719999999995,13.062859870013055,30367441,61.718994,16.65648719339943,52713089,310.5,71.66234631180485,11151192,85.271461,-11.744833551462042,-754394,93477327.47279228,934.7732747279227
2025-08-07,103779251,338,False,,36668532,0.3533,buy,725964,44.735928,26125059,4191858,38140683,0.3675,buy,613849,52.906611,47303616,5664012,14632724,0.141,buy,46732,180.878339,5093712,6179917,14336975,0.1381,buy,168421,96.619229,1156808,-1935732,-16.68,50.510124,12.907289163106949,30316917,62.133656,17.4402493573224,52967629,313.119995,73.11083097855267,11273629,85.125816,-11.895574767417017,-778924,93779251.06608129,937.7925106608128
