Date,equity,cash,is_month_start,rebalanced,rebalance_reason,sso_close,sso_shares,sso_weight,sso_signal_today,sso_pending_intent,sso_pending_reason,sso_pending_delta,sso_executed_intent,sso_exec_side,sso_exec_shares,sso_exec_price,qld_close,qld_shares,qld_weight,qld_signal_today,qld_pending_intent,qld_pending_reason,qld_pending_delta,qld_executed_intent,qld_exec_side,qld_exec_shares,qld_exec_price
2023-08-02,182300065,20,False,False,,29.136311,2939894,0.4699,hold,,,0.0,,,0,0.0,32.492435,2974304,0.5301,hold,,,0.0,,,0,0.0
2023-08-03,181357413,20,False,False,,28.935942,2939894,0.4691,hold,,,0.0,,,0,0.0,32.373554,2974304,0.5309,hold,,,0.0,,,0,0.0
2023-08-04,179682229,20,False,False,,28.681814,2939894,0.4693,hold,,,0.0,,,0,0.0,32.061523,2974304,0.5307,hold,,,0.0,,,0,0.0
2023-08-07,182725084,20,False,False,,29.165628,2939894,0.4693,hold,,,0.0,,,0,0.0,32.606354,2974304,0.5307,hold,,,0.0,,,0,0.0
2023-08-08,180283831,20,False,False,,28.91151,2939894,0.4715,hold,,,0.0,,,0,0.0,32.036751,2974304,0.5285,hold,,,0.0,,,0,0.0
2023-08-09,176998652,20,False,False,,28.515661,2939894,0.4736,hold,,,0.0,,,0,0.0,31.3235,2974304,0.5264,hold,,,0.0,,,0,0.0
2023-08-10,177336761,20,False,False,,28.525436,2939894,0.4729,hold,,,0.0,,,0,0.0,31.427515,2974304,0.5271,hold,,,0.0,,,0,0.0
2023-08-11,175984696,20,False,False,,28.481453,2939894,0.4758,hold,,,0.0,,,0,0.0,31.016407,2974304,0.5242,hold,,,0.0,,,0,0.0
2023-08-14,178996148,20,False,False,,28.79422,2939894,0.4729,hold,,,0.0,,,0,0.0,31.719748,2974304,0.5271,hold,,,0.0,,,0,0.0
2023-08-15,174980069,20,False,False,,28.124701,2939894,0.4725,hold,,,0.0,,,0,0.0,31.031263,2974304,0.5275,hold,,,0.0,,,0,0.0
2023-08-16,171669095,20,False,False,,27.679985,2939894,0.474,hold,,,0.0,,,0,0.0,30.357641,2974304,0.526,hold,,,0.0,,,0,0.0
2023-08-17,168372111,20,False,False,,27.245041,2939894,0.4757,hold,,,0.0,,,0,0.0,29.679064,2974304,0.5243,hold,,,0.0,,,0,0.0
2023-08-18,168193852,20,False,False,,27.264585,2939894,0.4766,hold,,,0.0,,,0,0.0,29.599813,2974304,0.5234,hold,,,0.0,,,0,0.0
