Date,equity,cash,rebalanced,rebalance_reason,sso_value,sso_weight,sso_signal,sso_shares,sso_avg_price,sso_realized_pnl,sso_unrealized_pnl,qld_value,qld_weight,qld_signal,qld_shares,qld_avg_price,qld_realized_pnl,qld_unrealized_pnl,drawdown_pct,sso_current_price,sso_return_pct,sso_contribution,qld_current_price,qld_return_pct,qld_contribution,total_pnl,total_return_pct
2018-12-07,64717434,31663320,False,,33054113,0.5107,buy,2673330,8.327733,9353286,10791336,0,0.0,sell,0,0.0,34572812,0,-23.29,12.364397,48.472549807341636,20144622,0.0,0.0,34572812,54717433.90755237,547.1743390755237
2018-12-10,64803988,31663320,False,,33140668,0.5114,buy,2673330,8.327733,9353286,10877890,0,0.0,sell,0,0.0,34572812,0,-23.19,12.396774,48.86133510314801,20231176,0.0,0.0,34572812,54803988.31296237,548.0398831296236
2018-12-11,64832842,31663320,False,,33169521,0.5116,buy,2673330,8.327733,9353286,10906744,0,0.0,sell,0,0.0,34572812,0,-23.16,12.407567,48.990938207130384,20260030,0.0,0.0,34572812,54832841.56365237,548.3284156365237
2018-12-12,65172646,31663320,False,,33509325,0.5142,buy,2673330,8.327733,9353286,11246548,0,0.0,sell,0,0.0,34572812,0,-22.75,12.534676,50.51727202943172,20599834,0.0,0.0,34572812,55172645.866622366,551.7264586662237
2018-12-13,65147003,31663320,False,,33483683,0.514,buy,2673330,8.327733,9353286,11220905,0,0.0,sell,0,0.0,34572812,0,-22.79,12.525084,50.40209061801701,20574191,0.0,0.0,34572812,55147003.28526236,551.4700328526236
2018-12-14,63883954,31663320,False,,32220633,0.5044,buy,2673330,8.327733,9353286,9957856,0,0.0,sell,0,0.0,34572812,0,-24.28,12.052621,44.72872164582809,19311142,0.0,0.0,34572812,53883953.77347237,538.8395377347238
2018-12-17,62585638,31663320,False,,30922317,0.4941,sell,2673330,8.327733,9353286,8659540,0,0.0,sell,0,0.0,34572812,0,-25.82,11.566966,38.89694220873265,18012826,0.0,0.0,34572812,52585637.69232237,525.8563769232237
2018-12-18,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2018-12-19,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2018-12-20,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2018-12-21,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2018-12-24,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2018-12-26,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2018-12-27,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2018-12-28,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2018-12-31,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-01-02,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-01-03,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-01-04,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-01-07,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-01-08,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-01-09,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-01-10,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-01-11,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-01-14,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-01-15,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-01-16,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-01-17,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-01-18,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-01-22,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-01-23,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-01-24,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
