Date,equity,cash,rebalanced,qqq_value,qqq_weight,qqq_signal,spy_value,spy_weight,spy_signal,gld_value,gld_weight,gld_signal,drawdown_pct
2006-02-06,11375774,-108403,False,3237475,0.2846,buy,3266970,0.2872,buy,4979732,0.4377,buy,-1.33
2006-02-07,11146469,-108403,False,3223194,0.2892,buy,3238071,0.2905,buy,4793607,0.4301,buy,-3.32
2006-02-08,11233364,-108403,False,3260479,0.2902,buy,3267488,0.2909,buy,4813800,0.4285,buy,-2.57
2006-02-09,11315528,-108403,False,3229540,0.2854,buy,3262068,0.2883,buy,4932323,0.4359,buy,-1.85
2006-02-10,11219262,-108403,False,3249374,0.2896,buy,3268003,0.2913,buy,4810288,0.4288,buy,-2.69
2006-02-13,11082100,-108403,False,3212088,0.2898,buy,3262068,0.2944,buy,4716347,0.4256,buy,-3.88
2006-02-14,11216810,-108403,False,3244615,0.2893,buy,3296649,0.2939,buy,4783950,0.4265,buy,-2.71
2006-02-15,11184956,-108403,False,3265240,0.2919,buy,3308260,0.2958,buy,4719859,0.422,buy,-2.99
2006-02-16,11306599,-108403,False,3295386,0.2915,buy,3333033,0.2948,buy,4786583,0.4233,buy,-1.93
2006-02-17,11310016,-108403,False,3269205,0.2891,buy,3324001,0.2939,buy,4825213,0.4266,buy,-1.9
2006-02-21,11279315,-108403,False,3232715,0.2866,buy,3315743,0.294,buy,4839260,0.429,buy,-2.17
2006-02-22,11359216,-108403,False,3273172,0.2882,buy,3335872,0.2937,buy,4858575,0.4277,buy,-1.47
2006-02-23,11284128,-108403,False,3264445,0.2893,buy,3330968,0.2952,buy,4797119,0.4251,buy,-2.13
2006-02-24,11389166,-108403,False,3273172,0.2874,buy,3339484,0.2932,buy,4884914,0.4289,buy,-1.21
2006-02-27,11390077,-108403,False,3309665,0.2906,buy,3340775,0.2933,buy,4848040,0.4256,buy,-1.21
2006-02-28,11383776,-108403,False,3260479,0.2864,buy,3309034,0.2907,buy,4922666,0.4324,buy,-1.26
2006-03-01,11460252,-108403,False,3304904,0.2884,buy,3338451,0.2913,buy,4925299,0.4298,buy,-0.6
2006-03-02,11518564,-108403,False,3307285,0.2871,buy,3338194,0.2898,buy,4981488,0.4325,buy,-0.09
2006-03-03,11443656,-108403,False,3288246,0.2873,buy,3322711,0.2904,buy,4941103,0.4318,buy,-0.74
2006-03-06,11307685,-108403,False,3259685,0.2883,buy,3307485,0.2925,buy,4848918,0.4288,buy,-1.92
2006-03-07,11258906,-108403,False,3240649,0.2878,buy,3302325,0.2933,buy,4824335,0.4285,buy,-2.34
2006-03-08,11181420,-108403,False,3242234,0.29,buy,3309293,0.296,buy,4738296,0.4238,buy,-3.02
2006-03-09,11155166,-108403,False,3214468,0.2882,buy,3287100,0.2947,buy,4762001,0.4269,buy,-3.24
2006-03-10,11153567,-108403,False,3217642,0.2885,buy,3318324,0.2975,buy,4726005,0.4237,buy,-3.26
2006-03-13,11211424,-108403,False,3227162,0.2878,buy,3324519,0.2965,buy,4768147,0.4253,buy,-2.76
2006-03-14,11350161,-108403,False,3281899,0.2891,buy,3359353,0.296,buy,4817312,0.4244,buy,-1.55
2006-03-15,11414844,-108403,False,3309665,0.2899,buy,3374322,0.2956,buy,4839260,0.4239,buy,-0.99
2006-03-16,11413360,-108403,False,3281899,0.2875,buy,3381289,0.2963,buy,4858575,0.4257,buy,-1.0
2006-03-17,11405522,-108403,False,3290552,0.2885,buy,3384113,0.2967,buy,4839260,0.4243,buy,-1.07
2006-03-20,11412412,-108403,False,3298491,0.289,buy,3378674,0.2961,buy,4843650,0.4244,buy,-1.01
2006-03-21,11326386,-108403,False,3263562,0.2881,buy,3357428,0.2964,buy,4813800,0.425,buy,-1.76
2006-03-22,11347767,-108403,False,3271499,0.2883,buy,3377895,0.2977,buy,4806776,0.4236,buy,-1.57
