Date,Open,High,Low,Close,change_pct
2008-01-14,33.858864,34.020162,33.554443,33.852047,1.47
2008-01-15,33.19095,33.320441,32.214077,32.32085,-4.52
2008-01-16,31.839251,31.977829,30.482986,30.975967,-4.16
2008-01-17,31.464389,31.687024,29.940013,30.074049,-2.91
2008-01-18,31.000958,31.182702,30.026356,30.760145,2.28
2008-01-22,28.835922,30.691979,28.511053,29.987722,-2.51
2008-01-23,28.651915,30.280794,27.722749,30.178562,0.64
2008-01-24,30.124039,30.973691,30.060428,30.764685,1.94
2008-01-25,31.346262,31.537095,30.171744,30.296694,-1.52
2008-01-28,30.237624,31.046383,28.851826,31.046383,2.47
2008-01-29,30.969146,31.035029,30.460263,30.894178,-0.49
2008-01-30,30.430736,31.596167,30.24672,30.48753,-1.32
2008-01-31,29.90595,31.305378,29.785545,31.098644,2.0
2008-02-01,31.259934,31.82561,31.123625,31.718836,1.99
2008-02-04,31.950557,32.032341,31.62796,31.816521,0.31
2008-02-05,31.112265,31.180417,29.80598,30.103584,-5.38
2008-02-06,30.328485,30.694245,29.51291,29.610598,-1.64
2008-02-07,29.510643,30.403461,29.217581,30.112671,1.7
2008-02-08,29.737826,30.267156,29.631052,30.055878,-0.19
2008-02-11,29.946838,30.43982,29.59471,30.428461,1.24
2008-02-12,30.728332,31.443948,30.655634,30.919165,1.61
2008-02-13,31.248573,31.705205,30.896444,31.614332,2.25
2008-02-14,31.898302,31.995989,31.178141,31.207676,-1.29
2008-02-15,31.307651,31.450774,30.937347,31.430328,0.71
2008-02-19,32.254968,32.2845,31.652941,31.841501,1.31
2008-02-20,31.33944,32.227712,31.194045,32.107307,0.83
2008-02-21,32.316321,32.386746,31.541636,31.657499,-1.4
2008-02-22,31.980089,32.134573,31.269018,32.082321,1.34
2008-02-25,32.020988,32.722973,31.789264,32.67981,1.86
2008-02-26,32.43672,33.236392,32.325402,33.111443,1.32
2008-02-27,32.861546,33.58852,32.784304,33.390873,0.84
2008-02-28,33.045564,33.311364,32.86609,33.031933,-1.07
2008-02-29,32.668447,32.679806,31.662042,31.718836,-3.98
2008-03-03,31.721102,32.109582,31.350801,31.891487,0.54
2008-03-04,31.35761,31.650672,30.569297,31.150879,-2.32
2008-03-05,31.514373,31.941471,31.289463,31.805162,2.1
2008-03-06,31.62341,31.725639,30.676068,30.714689,-3.43
2008-03-07,30.428454,31.016848,30.089956,30.289873,-1.38
2008-03-10,30.505698,30.505698,29.46976,29.758278,-1.76
2008-03-11,31.023676,31.782455,30.521608,31.759737,6.73
2008-03-12,31.418954,31.805161,31.082729,31.171329,-1.85
2008-03-13,30.285333,31.198595,30.04452,30.887358,-0.91
2008-03-14,30.876002,30.953244,29.556089,29.792355,-3.55
2008-03-17,28.683722,29.310739,28.365669,29.056295,-2.47
2008-03-18,29.658312,30.621554,29.592429,30.56703,5.2
2008-03-19,30.226265,30.419367,28.692801,28.731422,-6.01
2008-03-20,28.708701,29.294825,28.347486,29.215313,1.68
2008-03-24,29.619691,30.56476,29.467481,30.335306,3.83
2008-03-25,30.364846,30.853283,30.362574,30.801031,1.54
2008-03-26,30.644277,30.687442,30.258072,30.551134,-0.81
2008-03-27,30.848738,30.866914,30.358029,30.403467,-0.48
2008-03-28,30.67154,30.726062,30.235356,30.348944,-0.18
2008-03-31,30.408009,30.560219,30.25807,30.528412,0.59
2008-04-01,30.871443,31.725639,30.801018,31.700649,3.84
2008-04-02,31.700667,31.959653,31.350811,31.723385,0.07
2008-04-03,31.612063,32.31405,31.521192,32.109589,1.22
2008-04-04,31.94602,32.40265,31.743831,31.980097,-0.4
2008-04-07,32.538951,32.83883,32.20727,32.404915,1.33
