Date,equity,cash,rebalanced,tqqq_value,tqqq_weight,tqqq_signal,gld_value,gld_weight,gld_signal,tlt_value,tlt_weight,tlt_signal,drawdown_pct
2016-03-23,47182408,28550626,False,0,0.0,sell,9329966,0.1977,buy,9301816,0.1971,buy,-32.29
2016-03-24,47163596,28550626,False,0,0.0,sell,9307563,0.1973,buy,9305406,0.1973,buy,-32.31
2016-03-28,47197412,28550626,False,0,0.0,sell,9329166,0.1977,buy,9317620,0.1974,buy,-32.27
2016-03-29,47467929,28550626,False,0,0.0,sell,9501988,0.2002,buy,9415316,0.1984,buy,-31.88
2016-03-30,47235977,28550626,False,0,0.0,sell,9369171,0.1983,buy,9316181,0.1972,buy,-32.21
2016-03-31,47345273,28550626,False,0,0.0,sell,9412376,0.1988,buy,9382271,0.1982,buy,-32.05
2016-04-01,47312940,28550626,False,0,0.0,sell,9355569,0.1977,buy,9406744,0.1988,buy,-32.1
2016-04-04,47256290,28550626,False,0,0.0,buy,9293162,0.1967,buy,9412502,0.1992,buy,-32.18
2016-04-05,47278304,158,True,28152703,0.5955,buy,9571406,0.2024,buy,9554038,0.2021,buy,-32.15
2016-04-06,48498589,158,False,29500944,0.6083,buy,9512835,0.1961,buy,9484652,0.1956,buy,-30.4
2016-04-07,47478027,158,False,28227447,0.5945,buy,9648686,0.2032,buy,9601737,0.2022,buy,-31.86
2016-04-08,47336225,158,False,28160998,0.5949,buy,9634044,0.2035,buy,9541026,0.2016,buy,-32.07
2016-04-11,47152323,158,False,27859225,0.5908,buy,9764200,0.2071,buy,9528739,0.2021,buy,-32.33
2016-04-12,47738784,158,False,28509831,0.5972,buy,9765828,0.2046,buy,9462968,0.1982,buy,-31.49
2016-04-13,48780821,158,False,29622748,0.6073,buy,9661702,0.1981,buy,9496214,0.1947,buy,-29.99
2016-04-14,48619640,158,False,29642136,0.6097,buy,9526664,0.1959,buy,9450682,0.1944,buy,-30.22
2016-04-15,48539466,158,False,29415121,0.606,buy,9592556,0.1976,buy,9531631,0.1964,buy,-30.34
2016-04-18,48918270,158,False,29849763,0.6102,buy,9577913,0.1958,buy,9490436,0.194,buy,-29.8
2016-04-19,48523392,158,False,29334838,0.6046,buy,9727594,0.2005,buy,9460802,0.195,buy,-30.36
2016-04-20,48441682,158,False,29406826,0.6071,buy,9677972,0.1998,buy,9356727,0.1932,buy,-30.48
2016-04-21,48430933,158,False,29415121,0.6074,buy,9714578,0.2006,buy,9301076,0.192,buy,-30.5
2016-04-22,46950967,158,False,28083471,0.5981,buy,9590116,0.2043,buy,9277223,0.1976,buy,-32.62
2016-04-25,46918176,158,False,28061326,0.5981,buy,9617774,0.205,buy,9238918,0.1969,buy,-32.67
2016-04-26,46529664,158,False,27676500,0.5948,buy,9656007,0.2075,buy,9196999,0.1977,buy,-33.22
2016-04-27,45984680,158,False,27012073,0.5874,buy,9683666,0.2106,buy,9288783,0.202,buy,-34.01
2016-04-28,45248135,158,False,26054184,0.5758,buy,9866699,0.2181,buy,9327094,0.2061,buy,-35.06
2016-04-29,45048701,158,False,25638917,0.5691,buy,10058680,0.2233,buy,9350945,0.2076,buy,-35.35
2016-05-02,45599478,158,False,26317193,0.5771,buy,10025327,0.2199,buy,9256801,0.203,buy,-34.56
2016-05-03,44992862,158,False,25616758,0.5694,buy,10002550,0.2223,buy,9373396,0.2083,buy,-35.43
2016-05-04,44476639,158,False,25110129,0.5646,buy,9941539,0.2235,buy,9424813,0.2119,buy,-36.17
2016-05-05,44514418,158,False,25096294,0.5638,buy,9930150,0.2231,buy,9487816,0.2131,buy,-36.12
2016-05-06,44926816,158,False,25458947,0.5667,buy,10020447,0.223,buy,9447264,0.2103,buy,-35.52
2016-05-09,44974945,158,False,25683193,0.5711,buy,9814636,0.2182,buy,9476958,0.2107,buy,-35.46
2016-05-10,46079461,158,False,26760144,0.5807,buy,9841481,0.2136,buy,9477679,0.2057,buy,-33.87
2016-05-11,45494915,158,False,26029269,0.5721,buy,9934218,0.2184,buy,9531270,0.2095,buy,-34.71
2016-05-12,45007930,158,False,25663832,0.5702,buy,9856124,0.219,buy,9487816,0.2108,buy,-35.41
2016-05-13,44834584,158,False,25353763,0.5655,buy,9900865,0.2208,buy,9579798,0.2137,buy,-35.66
2016-05-16,45736606,158,False,26331028,0.5757,buy,9908187,0.2166,buy,9497234,0.2077,buy,-34.36
2016-05-17,44776215,158,False,25320539,0.5655,buy,9942353,0.222,buy,9513166,0.2125,buy,-35.74
2016-05-18,44756240,158,False,25608449,0.5722,buy,9769895,0.2183,buy,9377738,0.2095,buy,-35.77
2016-05-19,44373899,158,False,25204262,0.568,buy,9751185,0.2198,buy,9418295,0.2122,buy,-36.32
2016-05-20,45209739,158,False,26045874,0.5761,buy,9738169,0.2154,buy,9425538,0.2085,buy,-35.12
2016-05-23,45075736,158,False,25918531,0.575,buy,9710511,0.2154,buy,9446536,0.2096,buy,-35.31
2016-05-24,46451683,158,False,27504867,0.5921,buy,9542121,0.2054,buy,9404537,0.2025,buy,-33.34
2016-05-25,46982629,158,False,28097334,0.598,buy,9516089,0.2025,buy,9369049,0.1994,buy,-32.57
2016-05-26,47233920,158,False,28332645,0.5998,buy,9483550,0.2008,buy,9417568,0.1994,buy,-32.21
