Date,equity,cash,rebalanced,rebalance_reason,sso_value,sso_weight,sso_signal,sso_shares,sso_avg_price,sso_realized_pnl,sso_unrealized_pnl,qld_value,qld_weight,qld_signal,qld_shares,qld_avg_price,qld_realized_pnl,qld_unrealized_pnl,ugl_value,ugl_weight,ugl_signal,ugl_shares,ugl_avg_price,ugl_realized_pnl,ugl_unrealized_pnl,ubt_value,ubt_weight,ubt_signal,ubt_shares,ubt_avg_price,ubt_realized_pnl,ubt_unrealized_pnl,drawdown_pct,sso_current_price,sso_return_pct,sso_contribution,qld_current_price,qld_return_pct,qld_contribution,ugl_current_price,ugl_return_pct,ugl_contribution,ubt_current_price,ubt_return_pct,ubt_contribution,total_pnl,total_return_pct
2021-08-05,89673562,30,False,,30986819,0.3456,buy,1004251,15.298459,11960269,15623327,31997333,0.3568,buy,830834,14.628912,22225309,19843136,12944841,0.1444,buy,874947,13.015112,1469006,1557308,13744538,0.1533,buy,275258,46.04151,5923964,1071244,0.0,30.855652,101.69124731442407,27583596,38.512306,163.26158256717284,42068444,14.795,13.675550295593997,3026314,49.933292,8.452769008371884,6995208,79673561.98580405,796.7356198580405
2021-08-06,88378688,30,False,,31084613,0.3517,buy,1004251,15.298459,11960269,15721121,31705814,0.3587,buy,830834,14.628912,22225309,19551616,12299567,0.1392,buy,874947,13.015112,1469006,912034,13288663,0.1504,buy,275258,46.04151,5923964,615369,-1.44,30.953032,102.32778202979742,27681390,38.16143,160.86307204835734,41776924,14.0575,8.009060377175569,2381040,48.277119,4.855638905135318,6539333,78378687.95746605,783.7868795746605
2021-08-09,87910277,30,False,,31038158,0.3531,buy,1004251,15.298459,11960269,15674665,31820784,0.362,buy,830834,14.628912,22225309,19666586,11857719,0.1349,buy,874947,13.015112,1469006,470186,13193586,0.1501,buy,275258,46.04151,5923964,520293,-1.97,30.906773,102.02540516187328,27634934,38.299809,161.80900020270008,41891894,13.552499999999998,4.128955416089064,1939192,47.931709,4.1054245803280764,6444256,77910277.18776305,779.1027718776305
2021-08-10,87540937,30,False,,31099281,0.3553,buy,1004251,15.298459,11960269,15735789,31500520,0.3598,buy,830834,14.628912,22225309,19346323,11862094,0.1355,buy,874947,13.015112,1469006,474561,13079011,0.1494,buy,275258,46.04151,5923964,405717,-2.38,30.967638,102.4232557004972,27696058,37.914337,159.1739991005762,41571631,13.5575,4.1673722968919025,1943567,47.515461,3.2013534408927624,6329681,77540936.82424605,775.4093682424605
2021-08-11,87900683,30,False,,31258203,0.3556,buy,1004251,15.298459,11960269,15894711,31397871,0.3572,buy,830834,14.628912,22225309,19243673,12192386,0.1387,buy,874947,13.015112,1469006,804853,13052192,0.1485,buy,275258,46.04151,5923964,378898,-1.98,31.125887,103.4576671009194,27854980,37.790787,158.3294387014618,41468982,13.935,7.067846797506094,2273859,47.41803,2.98973787712713,6302862,77900682.83034705,779.0068283034705
2021-08-12,88275749,30,False,,31434239,0.3561,buy,1004251,15.298459,11960269,16070747,31619594,0.3582,buy,830834,14.628912,22225309,19465396,12198949,0.1382,buy,874947,13.015112,1469006,811415,13022937,0.1475,buy,275258,46.04151,5923964,349644,-1.56,31.301178,104.60347534483505,28031016,38.057655,160.1536891635488,41690705,13.9425,7.125472118710352,2280422,47.311749,2.7589005283102486,6273607,78275749.40730205,782.7574940730206
2021-08-13,89342566,30,False,,31556482,0.3532,buy,1004251,15.298459,11960269,16192989,31824885,0.3562,buy,830834,14.628912,22225309,19670687,12555489,0.1405,buy,874947,13.015112,1469006,1167956,13405680,0.15,buy,275258,46.04151,5923964,732386,-0.37,31.422903,105.39914373905175,28153258,38.304745,161.8427416039953,41895995,14.35,10.256447904141531,2636962,48.702236,5.7789730967310105,6656350,79342566.20648305,793.4256620648305
2021-08-16,89715669,30,False,,31708069,0.3534,buy,1004251,15.298459,11960269,16344577,31849520,0.355,buy,830834,14.628912,22225309,19695322,12667045,0.1412,buy,874947,13.015112,1469006,1279512,13491004,0.1504,buy,275258,46.04151,5923964,817710,0.0,31.573849,106.38581830412406,28304846,38.334396,162.04542926400455,41920630,14.4775,11.236078364613867,2748518,49.012215,6.452232950786807,6741674,79715668.87894505,797.1566887894505
2021-08-17,88720032,30,False,,31299768,0.3528,buy,1004251,15.298459,11960269,15936276,31291123,0.3527,buy,830834,14.628912,22225309,19136925,12642984,0.1425,buy,874947,13.015112,1469006,1255451,13486127,0.152,buy,275258,46.04151,5923964,812833,-1.11,31.167276000000005,103.72821069646866,27896545,37.662304,157.45115740838688,41362233,14.449999999999998,11.024785520198254,2724457,48.994495,6.413745941622095,6736797,78720032.03813405,787.2003203813406
2021-08-18,87517879,30,False,,30602966,0.3497,buy,1004251,15.298459,11960269,15239473,30683448,0.3506,buy,830834,14.628912,22225309,18529250,12664858,0.1447,buy,874947,13.015112,1469006,1277325,13566577,0.155,buy,275258,46.04151,5923964,893283,-2.45,30.473423,99.19276684900579,27199742,36.930901,152.45144871074672,40754559,14.475,11.216869924212446,2746331,49.286766,7.0485448499505665,6817247,77517878.59484704,775.1787859484704
