Date,equity,cash,is_month_start,rebalanced,rebalance_reason,sso_close,sso_shares,sso_weight,sso_signal_today,sso_pending_intent,sso_pending_reason,sso_pending_delta,sso_executed_intent,sso_exec_side,sso_exec_shares,sso_exec_price,qld_close,qld_shares,qld_weight,qld_signal_today,qld_pending_intent,qld_pending_reason,qld_pending_delta,qld_executed_intent,qld_exec_side,qld_exec_shares,qld_exec_price,ugl_close,ugl_shares,ugl_weight,ugl_signal_today,ugl_pending_intent,ugl_pending_reason,ugl_pending_delta,ugl_executed_intent,ugl_exec_side,ugl_exec_shares,ugl_exec_price,ubt_close,ubt_shares,ubt_weight,ubt_signal_today,ubt_pending_intent,ubt_pending_reason,ubt_pending_delta,ubt_executed_intent,ubt_exec_side,ubt_exec_shares,ubt_exec_price
2019-04-16,40915873,18,False,False,,14.952463,967707,0.3536,hold,,,0.0,,,0,0.0,11.927197,1234270,0.3598,hold,,,0.0,,,0,0.0,9.05,652535,0.1443,hold,,,0.0,,,0,0.0,33.841164,171963,0.1422,hold,,,0.0,,,0,0.0
2019-04-17,40923009,18,False,False,,14.881243,967707,0.3519,hold,,,0.0,,,0,0.0,12.007427,1234270,0.3622,hold,,,0.0,,,0,0.0,9.0125,652535,0.1437,hold,,,0.0,,,0,0.0,33.849892,171963,0.1422,hold,,,0.0,,,0,0.0
2019-04-18,41060125,18,False,False,,14.931943,967707,0.3519,hold,,,0.0,,,0,0.0,12.033349,1234270,0.3617,hold,,,0.0,,,0,0.0,9.0225,652535,0.1434,hold,,,0.0,,,0,0.0,34.137939,171963,0.143,hold,,,0.0,,,0,0.0
2019-04-22,41115349,18,False,False,,14.953671,967707,0.352,hold,,,0.0,,,0,0.0,12.104941,1234270,0.3634,hold,,,0.0,,,0,0.0,9.02,652535,0.1432,hold,,,0.0,,,0,0.0,33.832439,171963,0.1415,hold,,,0.0,,,0,0.0
2019-04-23,41750429,18,False,False,,15.226479,967707,0.3529,hold,,,0.0,,,0,0.0,12.409817,1234270,0.3669,hold,,,0.0,,,0,0.0,8.9775,652535,0.1403,hold,,,0.0,,,0,0.0,33.963367,171963,0.1399,hold,,,0.0,,,0,0.0
2019-04-24,41721426,18,False,False,,15.157671,967707,0.3516,hold,,,0.0,,,0,0.0,12.330821,1234270,0.3648,hold,,,0.0,,,0,0.0,9.035,652535,0.1413,hold,,,0.0,,,0,0.0,34.530727,171963,0.1423,hold,,,0.0,,,0,0.0
2019-04-25,41789110,18,False,False,,15.131116,967707,0.3504,hold,,,0.0,,,0,0.0,12.414753,1234270,0.3667,hold,,,0.0,,,0,0.0,9.055,652535,0.1414,hold,,,0.0,,,0,0.0,34.395439,171963,0.1415,hold,,,0.0,,,0,0.0
2019-04-26,42100286,18,False,False,,15.274761,967707,0.3511,hold,,,0.0,,,0,0.0,12.451783,1234270,0.3651,hold,,,0.0,,,0,0.0,9.1775,652535,0.1422,hold,,,0.0,,,0,0.0,34.666019,171963,0.1416,hold,,,0.0,,,0,0.0
2019-04-29,42061114,18,False,False,,15.31339,967707,0.3523,hold,,,0.0,,,0,0.0,12.488813,1234270,0.3665,hold,,,0.0,,,0,0.0,9.0925,652535,0.1411,hold,,,0.0,,,0,0.0,34.277599,171963,0.1401,hold,,,0.0,,,0,0.0
2019-04-30,41918385,18,False,False,,15.31701,967707,0.3536,hold,,,0.0,,,0,0.0,12.303666,1234270,0.3623,hold,,,0.0,,,0,0.0,9.145,652535,0.1424,hold,,,0.0,,,0,0.0,34.556915,171963,0.1418,hold,,,0.0,,,0,0.0
