Date,Open,High,Low,Close,ma_200
2007-08-23,40.994182,41.045648,40.513814,40.771152,38.983119
2007-08-24,40.642473,41.3716,40.591004,41.345867,39.007874
2007-08-27,41.225777,41.345868,41.03706,41.071373,39.030016
2007-08-28,40.831187,40.916968,40.067747,40.093483,39.046413
2007-08-29,40.359401,41.277245,40.359401,41.242935,39.069412
2007-08-30,41.028483,41.809079,40.959858,41.457382,39.092628
2007-08-31,41.912013,42.083573,41.697563,41.920589,39.116278
2007-09-04,41.97205,42.889893,41.954894,42.615398,39.141435
2007-09-05,42.512476,42.589678,41.920593,42.186512,39.163677
2007-09-06,42.229397,42.340912,41.869123,42.152195,39.184934
2007-09-07,41.628932,41.688978,41.131411,41.371593,39.202289
2007-09-10,41.706141,41.817655,41.011326,41.345867,39.21913
2007-09-11,41.61178,42.023526,41.543158,41.972057,39.238845
2007-09-12,41.894854,42.349486,41.843385,41.980633,39.257406
2007-09-13,42.28087,42.332336,41.980639,42.186512,39.277338
2007-09-14,41.860544,42.298023,41.800499,42.220821,39.301761
2007-09-17,42.032125,42.117904,41.680428,41.869144,39.323871
2007-09-18,42.109308,42.95853,41.886282,42.924217,39.349973
2007-09-19,43.138663,43.396002,42.872744,43.035725,39.37676
2007-09-20,42.941378,43.112935,42.821283,42.915642,39.404573
2007-09-21,43.152507,43.358487,42.920781,43.221169,39.431346
2007-09-24,43.332722,43.736094,43.195403,43.418545,39.458422
2007-09-25,43.272664,43.830524,43.221172,43.830524,39.488243
2007-09-26,44.079401,44.208136,43.873421,44.045071,39.521531
2007-09-27,44.30255,44.3283,44.079408,44.268223,39.55508
2007-09-28,44.233899,44.354052,43.92493,44.122326,39.587215
2007-10-01,44.156648,44.766,44.096571,44.628681,39.622994
2007-10-02,44.663025,44.680191,44.388387,44.637276,39.658473
2007-10-03,44.491381,44.688777,44.199578,44.328316,39.690312
2007-10-04,44.41414,44.482801,44.06226,44.431305,39.722178
2007-10-05,44.774598,45.40112,44.680194,45.332458,39.760433
2007-10-08,45.315293,45.624262,45.238051,45.615681,39.800705
2007-10-09,45.71868,45.873164,45.5127,45.813087,39.842648
2007-10-10,45.82166,45.976144,45.667176,45.924648,39.886478
2007-10-11,46.164954,46.293688,44.869003,45.195137,39.928587
2007-10-12,45.401104,45.95038,45.315278,45.941795,39.973658
2007-10-15,46.010473,46.096296,45.22947,45.589931,40.016028
2007-10-16,45.306701,45.727238,45.212293,45.375359,40.058224
2007-10-17,46.01905,46.05338,45.212301,45.958973,40.103167
2007-10-18,45.770146,46.25076,45.589912,46.156353,40.148755
2007-10-19,46.147775,46.147775,44.963398,45.00631,40.18508
2007-10-22,44.766018,45.589932,44.645864,45.54702,40.225008
2007-10-23,46.010465,46.525411,45.778739,46.499664,40.269571
2007-10-24,46.122024,46.29367,45.143623,46.14777,40.311432
2007-10-25,46.250779,46.328021,45.272381,45.529854,40.347976
2007-10-26,46.413837,46.516825,45.864558,46.285099,40.386327
2007-10-29,46.508246,46.628403,46.207862,46.473919,40.424636
2007-10-30,46.293676,46.825789,46.259349,46.568314,40.463546
2007-10-31,46.748546,47.263491,46.379501,47.22916,40.507345
2007-11-01,46.928787,47.006029,46.319434,46.345181,40.550279
2007-11-02,46.705647,46.817219,46.001887,46.705647,40.59463
