Date,Open,High,Low,Close,Volume,ma_200,change_pct
2023-02-24,89.385394,89.702613,88.609964,88.971245,21403600,95.880103,-1.3
2023-02-27,89.253219,89.614493,88.918379,89.217972,14209200,95.813813,0.28
2023-02-28,88.618794,89.632135,88.363255,89.623322,14955700,95.752216,0.45
2023-03-01,89.057975,89.243475,88.298306,88.660477,19000000,95.681652,-1.07
2023-03-02,87.50333,88.024502,87.344329,87.874336,23763600,95.603967,-0.89
2023-03-03,89.155156,90.011994,88.837155,90.003159,30877300,95.548238,2.42
2023-03-06,90.294683,90.400679,89.208176,89.305344,16631900,95.486119,-0.78
2023-03-07,89.62335,90.42719,89.111013,89.85302,23096500,95.430068,0.61
2023-03-08,90.453674,90.957176,89.588002,89.941338,20252400,95.375454,0.1
2023-03-09,89.702816,90.559646,89.50848,90.162148,21550400,95.323581,0.25
2023-03-10,91.893474,93.359816,91.866975,93.271477,43921500,95.303162,3.45
2023-03-13,95.576985,96.371989,92.785646,93.483482,51502500,95.285055,0.23
2023-03-14,92.874017,93.289186,91.646179,91.94651,38417800,95.251836,-1.64
2023-03-15,94.322677,95.14418,93.059505,93.722008,45164100,95.236614,1.93
2023-03-16,94.852671,95.426841,92.785667,92.988831,43089300,95.214248,-0.78
2023-03-17,94.207842,95.161847,94.040006,94.384506,38129000,95.205992,1.5
2023-03-20,94.410999,94.481668,93.386333,93.554169,24242800,95.189556,-0.88
2023-03-21,92.821004,93.121335,92.344002,92.750336,18934900,95.165285,-0.86
2023-03-22,92.449996,94.031162,92.255661,93.987,26388500,95.153561,1.33
2023-03-23,93.068329,94.119501,92.591326,93.987,25475100,95.141953,0.0
2023-03-24,94.596505,94.896843,93.863341,94.384506,23652700,95.134416,0.42
2023-03-27,92.794487,93.421655,92.158484,92.167313,22224500,95.104893,-2.35
2023-03-28,92.078991,92.467661,91.884656,92.335159,17794300,95.077333,0.18
2023-03-29,91.602002,92.264505,91.51367,92.149673,16804400,95.048202,-0.2
2023-03-30,92.273332,92.794504,92.105495,92.573669,14315800,95.02358,0.46
2023-03-31,93.059481,94.128317,92.820983,93.960487,25396700,95.013002,1.5
2023-04-03,93.764789,94.845193,93.605385,94.402405,18234800,95.006926,0.47
2023-04-04,93.676231,95.465099,93.649665,94.871758,18052400,95.005582,0.5
2023-04-05,95.438515,95.969866,95.119714,95.863594,23047700,95.014119,1.05
2023-04-06,96.014135,96.412649,95.987569,96.111549,16447300,95.025039,0.26
2023-04-10,95.323409,95.429681,94.366986,94.561813,19134400,95.020429,-1.61
2023-04-11,94.800919,94.836336,94.322707,94.756638,13971200,95.017805,0.21
2023-04-12,94.800929,94.907193,93.764799,94.659233,20563000,95.014237,-0.1
2023-04-13,94.800928,95.102021,93.764799,93.915352,22079400,95.003303,-0.79
2023-04-14,93.330854,93.47255,92.781795,93.056328,19801900,94.98393,-0.91
2023-04-17,92.471843,92.622389,91.843085,91.949356,19528800,94.953735,-1.19
2023-04-18,91.931634,92.622382,91.922783,92.277008,15922600,94.927101,0.36
2023-04-19,92.020222,92.312457,91.639424,92.188477,16093900,94.899851,-0.1
2023-04-20,92.834927,93.233434,92.76408,92.976616,16450100,94.880714,0.85
2023-04-21,93.251152,93.39284,92.339003,92.454132,15244700,94.856569,-0.56
2023-04-24,92.950051,93.419405,92.843779,93.348564,17034300,94.841564,0.97
2023-04-25,94.163304,94.871761,94.119022,94.721214,21899900,94.840367,1.47
2023-04-26,94.57068,94.969186,93.578832,93.71167,19610400,94.829136,-1.07
2023-04-27,93.16259,93.22458,92.640103,92.781792,20247600,94.808764,-0.99
2023-04-28,94.057025,94.544095,93.747075,94.278419,26954100,94.803487,1.61
2023-05-01,93.459867,93.59304,91.302486,91.559952,32487300,94.771213,-2.88
2023-05-02,92.332353,93.841629,92.234693,93.841629,30057800,94.761964,2.49
2023-05-03,94.107952,94.640637,93.468727,94.365417,23656200,94.758018,0.56
2023-05-04,93.415467,94.50747,93.35332,93.43322,25110500,94.744836,-0.99
2023-05-05,92.643086,93.131385,92.430014,93.122505,15096500,94.728693,-0.33
2023-05-08,91.906216,92.216955,91.728656,91.817436,20587000,94.699725,-1.4
2023-05-09,91.888427,92.01272,91.444521,91.488914,19182500,94.667777,-0.36
2023-05-10,92.039352,92.545404,92.012719,92.376724,22886800,94.64498,0.97
2023-05-11,93.486521,93.681834,92.971589,93.353348,19147200,94.632128,1.06
2023-05-12,93.26455,93.44211,92.554299,92.572052,14198500,94.61163,-0.84
2023-05-15,91.790772,91.861799,91.551066,91.613213,20085300,94.581795,-1.04
2023-05-16,90.911852,91.355757,90.654386,91.337997,29251700,94.549519,-0.3
2023-05-17,91.515553,91.58658,90.867448,91.071648,21340900,94.514913,-0.29
2023-05-18,90.734262,90.787535,90.33475,90.396896,25536600,94.473938,-0.74
2023-05-19,89.899736,90.432421,89.606757,89.757683,29038000,94.42701,-0.71
2023-05-22,89.890873,90.299265,89.375941,89.438087,20131100,94.377369,-0.36
2023-05-23,89.162864,89.890869,89.029691,89.695549,21749500,94.330783,0.29
2023-05-24,89.917491,89.988517,89.251633,89.251633,18473400,94.280245,-0.49
2023-05-25,89.40255,89.491336,88.807718,89.029671,22492800,94.228,-0.25
2023-05-26,88.887616,89.819813,88.781076,89.748787,17030300,94.183431,0.81
2023-05-30,90.024035,90.769793,89.890862,90.6455,23125200,94.148227,1.0
2023-05-31,90.547843,91.60434,90.44131,91.435654,23787000,94.121237,0.87
2023-06-01,91.936812,92.24837,91.358199,91.794388,21040400,94.098084,0.39
2023-06-02,91.68758,91.749892,90.744001,90.788506,19136500,94.065153,-1.1
2023-06-05,90.218781,91.18907,90.094158,90.619362,14433200,94.030866,-0.19
2023-06-06,90.654958,91.215769,90.254384,91.153458,14332100,94.002235,0.59
2023-06-07,90.948713,91.180159,89.711376,89.800392,25251100,93.960426,-1.48
2023-06-08,89.791516,90.92203,89.729205,90.850815,23845100,93.929485,1.17
2023-06-09,90.441319,91.037732,90.209873,90.726173,22147400,93.897611,-0.14
2023-06-12,91.011048,91.064463,90.014062,90.993248,19010300,93.868712,0.29
2023-06-13,90.895332,91.091171,89.880538,90.094177,25910800,93.831154,-0.99
2023-06-14,90.46805,91.055566,90.316723,90.815216,29094200,93.801145,0.8
2023-06-15,91.714296,92.248397,91.331522,91.687592,25732000,93.780115,0.96
2023-06-16,91.189081,91.536247,90.824108,91.331505,16759100,93.75575,-0.39
2023-06-20,91.785462,92.275058,91.785462,91.963493,17162900,93.737917,0.69
2023-06-21,91.518438,92.266185,91.100056,92.186066,19720100,93.722476,0.24
2023-06-22,91.509522,91.910096,90.975414,91.073334,23630700,93.696116,-1.21
2023-06-23,92.426424,92.53324,91.66978,91.981339,22901900,93.679053,1.0
