Date,equity,cash,rebalanced,rebalance_reason,qqq_value,qqq_weight,qqq_signal,qqq_shares,qqq_avg_price,qqq_realized_pnl,qqq_unrealized_pnl,tqqq_value,tqqq_weight,tqqq_signal,tqqq_shares,tqqq_avg_price,tqqq_realized_pnl,tqqq_unrealized_pnl,spy_value,spy_weight,spy_signal,spy_shares,spy_avg_price,spy_realized_pnl,spy_unrealized_pnl,gld_value,gld_weight,gld_signal,gld_shares,gld_avg_price,gld_realized_pnl,gld_unrealized_pnl,drawdown_pct
2005-11-09,10375576,29,False,,1582650,0.1525,buy,46213,32.45501,159,82807,1630415,0.1571,buy,3098016,0.475039,1691,158737,3063386,0.2952,buy,36550,80.033316,2780,138169,4099096,0.3951,buy,88039,46.65956,0,-8765,-1.05
2005-11-10,10462535,29,False,,1599991,0.1529,buy,46213,32.45501,159,100148,1683298,0.1609,buy,3098016,0.475039,1691,211620,3087165,0.2951,buy,36550,80.033316,2780,161947,4092053,0.3911,buy,88039,46.65956,0,-15808,-0.22
2005-11-11,10518509,29,False,,1604326,0.1525,buy,46213,32.45501,159,104483,1696251,0.1613,buy,3098016,0.475039,1691,224573,3097678,0.2945,buy,36550,80.033316,2780,172461,4120225,0.3917,buy,88039,46.65956,0,12364,0.0
2005-11-14,10500174,29,False,,1604326,0.1528,buy,46213,32.45501,159,104483,1695516,0.1615,buy,3098016,0.475039,1691,223838,3095925,0.2948,buy,36550,80.033316,2780,170707,4104378,0.3909,buy,88039,46.65956,0,-3483,-0.17
2005-11-15,10460471,29,False,,1596838,0.1527,buy,46213,32.45501,159,96995,1671042,0.1597,buy,3098016,0.475039,1691,199364,3084662,0.2949,buy,36550,80.033316,2780,159445,4107900,0.3927,buy,88039,46.65956,0,39,-0.55
2005-11-16,10605393,29,False,,1606690,0.1515,buy,46213,32.45501,159,106847,1701251,0.1604,buy,3098016,0.475039,1691,229573,3090919,0.2914,buy,36550,80.033316,2780,165702,4206503,0.3966,buy,88039,46.65956,0,98642,0.0
2005-11-17,10783946,29,False,,1627971,0.151,buy,46213,32.45501,159,128127,1768112,0.164,buy,3098016,0.475039,1691,296434,3119704,0.2893,buy,36550,80.033316,2780,194486,4268131,0.3958,buy,88039,46.65956,0,160270,0.0
2005-11-18,10817180,29,False,,1633488,0.151,buy,46213,32.45501,159,133645,1785325,0.165,buy,3098016,0.475039,1691,313647,3131968,0.2895,buy,36550,80.033316,2780,206750,4266370,0.3944,buy,88039,46.65956,0,158509,0.0
2005-11-21,10895697,29,False,,1637429,0.1503,buy,46213,32.45501,159,137585,1797472,0.165,buy,3098016,0.475039,1691,325794,3147736,0.2889,buy,36550,80.033316,2780,222519,4313031,0.3958,buy,88039,46.65956,0,205170,0.0
2005-11-22,10962866,29,False,,1643340,0.1499,buy,46213,32.45501,159,143496,1816159,0.1657,buy,3098016,0.475039,1691,344481,3161254,0.2884,buy,36550,80.033316,2780,236037,4342083,0.3961,buy,88039,46.65956,0,234222,0.0
2005-11-23,10982392,29,False,,1647282,0.15,buy,46213,32.45501,159,147438,1828440,0.1665,buy,3098016,0.475039,1691,356762,3179525,0.2895,buy,36550,80.033316,2780,254307,4327117,0.394,buy,88039,46.65956,0,219256,0.0
2005-11-25,11023232,29,False,,1650828,0.1498,buy,46213,32.45501,159,150985,1839459,0.1669,buy,3098016,0.475039,1691,367781,3182028,0.2887,buy,36550,80.033316,2780,256810,4350887,0.3947,buy,88039,46.65956,0,243026,0.0
2005-11-28,10968180,29,False,,1637034,0.1493,buy,46213,32.45501,159,137191,1792555,0.1634,buy,3098016,0.475039,1691,320877,3159501,0.2881,buy,36550,80.033316,2780,234283,4379060,0.3993,buy,88039,46.65956,0,271199,-0.5
2005-11-29,10935408,29,False,,1629153,0.149,buy,46213,32.45501,159,129310,1765888,0.1615,buy,3098016,0.475039,1691,294210,3155996,0.2886,buy,36550,80.033316,2780,230779,4384342,0.4009,buy,88039,46.65956,0,276481,-0.8
2005-11-30,10839239,29,False,,1625212,0.1499,buy,46213,32.45501,159,125369,1752306,0.1617,buy,3098016,0.475039,1691,280628,3138977,0.2896,buy,36550,80.033316,2780,213760,4322715,0.3988,buy,88039,46.65956,0,214854,-1.67
2005-12-01,11093191,29,False,,1655556,0.1492,buy,46213,32.45501,159,155713,1849674,0.1667,buy,3098016,0.475039,1691,377996,3171016,0.2859,buy,36550,80.033316,2780,245798,4416916,0.3982,buy,88039,46.65956,0,309055,0.0
