Date,equity,cash,rebalanced,rebalance_reason,spy_value,spy_weight,spy_signal,spy_shares,spy_avg_price,spy_realized_pnl,spy_unrealized_pnl,gld_value,gld_weight,gld_signal,gld_shares,gld_avg_price,gld_realized_pnl,gld_unrealized_pnl,tlt_value,tlt_weight,tlt_signal,tlt_shares,tlt_avg_price,tlt_realized_pnl,tlt_unrealized_pnl,drawdown_pct
2012-01-11,17203495,109,False,,10296608,0.5985,buy,102315,100.000755,2810294,65030,3463881,0.2013,buy,21694,94.522807,2028386,1413303,3442898,0.2001,buy,42435,64.531903,181995,704487,-0.97
2012-01-12,17238722,109,False,,10321314,0.5987,buy,102315,100.000755,2810294,89736,3479284,0.2018,buy,21694,94.522807,2028386,1428706,3438015,0.1994,buy,42435,64.531903,181995,699604,-0.77
2012-01-13,17195208,109,False,,10267917,0.5971,buy,102315,100.000755,2810294,36340,3454986,0.2009,buy,21694,94.522807,2028386,1404409,3472195,0.2019,buy,42435,64.531903,181995,733784,-1.02
2012-01-17,17278048,109,False,,10307769,0.5966,buy,102315,100.000755,2810294,76192,3481887,0.2015,buy,21694,94.522807,2028386,1431309,3488282,0.2019,buy,42435,64.531903,181995,749871,-0.54
2012-01-18,17373649,109,False,,10421732,0.5999,buy,102315,100.000755,2810294,190155,3505751,0.2018,buy,21694,94.522807,2028386,1455173,3446058,0.1983,buy,42435,64.531903,181995,707647,0.0
2012-01-19,17372999,109,False,,10476721,0.603,buy,102315,100.000755,2810294,245143,3497507,0.2013,buy,21694,94.522807,2028386,1446929,3398663,0.1956,buy,42435,64.531903,181995,660252,-0.0
2012-01-20,17391996,109,False,,10515769,0.6046,buy,102315,100.000755,2810294,284192,3515947,0.2022,buy,21694,94.522807,2028386,1465369,3360171,0.1932,buy,42435,64.531903,181995,621759,0.0
2012-01-23,17367293,109,False,,10488675,0.6039,buy,102315,100.000755,2810294,257098,3539593,0.2038,buy,21694,94.522807,2028386,1489015,3338916,0.1923,buy,42435,64.531903,181995,600504,-0.14
2012-01-24,17336423,109,False,,10476721,0.6043,buy,102315,100.000755,2810294,245143,3514645,0.2027,buy,21694,94.522807,2028386,1464067,3344949,0.1929,buy,42435,64.531903,181995,606538,-0.32
2012-01-25,17511714,109,False,,10564385,0.6033,buy,102315,100.000755,2810294,332808,3610315,0.2062,buy,21694,94.522807,2028386,1559738,3336904,0.1906,buy,42435,64.531903,181995,598493,0.0
2012-01-26,17520195,109,False,,10510193,0.5999,buy,102315,100.000755,2810294,278615,3628755,0.2071,buy,21694,94.522807,2028386,1578178,3381138,0.193,buy,42435,64.531903,181995,642727,0.0
2012-01-27,17562924,109,False,,10505412,0.5982,buy,102315,100.000755,2810294,273835,3665635,0.2087,buy,21694,94.522807,2028386,1615057,3391768,0.1931,buy,42435,64.531903,181995,653356,0.0
2012-01-30,17546597,109,False,,10469549,0.5967,buy,102315,100.000755,2810294,237972,3645243,0.2077,buy,21694,94.522807,2028386,1594665,3431696,0.1956,buy,42435,64.531903,181995,693285,-0.09
2012-01-31,17610019,109,False,,10465565,0.5943,buy,102315,100.000755,2810294,233988,3673011,0.2086,buy,21694,94.522807,2028386,1622433,3471334,0.1971,buy,42435,64.531903,181995,732923,0.0
2012-02-01,17667330,109,False,,10557216,0.5976,buy,102315,100.000755,2810294,325639,3678435,0.2082,buy,21694,94.522807,2028386,1627857,3431570,0.1942,buy,42435,64.531903,181995,693159,0.0
2012-02-02,17714945,109,False,,10573947,0.5969,buy,102315,100.000755,2810294,342370,3710759,0.2095,buy,21694,94.522807,2028386,1660181,3430131,0.1936,buy,42435,64.531903,181995,691720,0.0
2012-02-03,17715497,109,False,,10722183,0.6052,buy,102315,100.000755,2810294,490606,3636782,0.2053,buy,21694,94.522807,2028386,1586204,3356423,0.1895,buy,42435,64.531903,181995,618011,0.0
2012-02-06,17731742,109,False,,10715008,0.6043,buy,102315,100.000755,2810294,483431,3626803,0.2045,buy,21694,94.522807,2028386,1576225,3389822,0.1912,buy,42435,64.531903,181995,651411,0.0
