이평기간,매수버퍼존,매도버퍼존,유지일,조정기간(월),수익률,CAGR,MDD,Calmar,거래수,승률,최종자본
150,0.05,0.03,2,8,774.74,8.38,-49.84,0.1682,18,61.11,87474211
150,0.05,0.01,3,8,523.3,7.03,-41.88,0.1678,23,56.52,62329621
150,0.05,0.03,5,0,712.52,8.09,-48.2,0.1678,19,57.89,81252003
150,0.05,0.01,2,12,540.92,7.14,-42.69,0.1672,23,52.17,64091562
100,0.03,0.05,3,4,899.09,8.92,-53.39,0.1671,21,52.38,99909102
150,0.01,0.01,5,0,621.94,7.61,-45.66,0.1667,39,43.59,72193515
150,0.03,0.03,3,12,851.37,8.72,-52.63,0.1657,19,57.89,95137084
200,0.05,0.03,0,8,711.25,8.08,-48.96,0.165,21,57.14,81124567
150,0.03,0.01,5,12,540.9,7.14,-43.26,0.165,26,50.0,64089753
200,0.05,0.01,3,0,735.4,8.2,-49.71,0.1649,22,50.0,83539581
200,0.01,0.01,3,12,731.08,8.18,-49.58,0.1649,27,44.44,83107853
150,0.03,0.01,5,8,539.69,7.13,-43.26,0.1648,27,48.15,63968604
200,0.05,0.01,3,12,639.14,7.71,-46.76,0.1648,19,57.89,73914364
150,0.05,0.03,2,12,735.47,8.2,-49.84,0.1645,18,61.11,83547346
200,0.01,0.03,0,4,815.05,8.56,-52.2,0.164,30,40.0,91504698
200,0.05,0.01,2,12,644.32,7.73,-47.18,0.1639,20,55.0,74432029
150,0.03,0.05,0,0,1110.17,9.7,-59.34,0.1634,22,50.0,121016626
100,0.03,0.03,0,4,708.99,8.07,-49.4,0.1633,34,44.12,80898584
200,0.05,0.01,5,0,727.94,8.16,-49.99,0.1633,20,55.0,82794220
150,0.03,0.01,2,4,553.41,7.22,-44.27,0.163,33,42.42,65341383
200,0.01,0.03,0,8,799.63,8.5,-52.2,0.1627,29,41.38,89962521
150,0.03,0.03,2,8,830.84,8.63,-53.1,0.1626,22,54.55,93083866
200,0.05,0.01,2,0,652.1,7.78,-47.91,0.1623,24,45.83,75209755
150,0.01,0.03,3,12,823.97,8.6,-53.04,0.1622,25,48.0,92397135
200,0.01,0.03,0,12,785.96,8.43,-52.2,0.1616,29,41.38,88596486
100,0.03,0.05,2,4,935.47,9.06,-56.24,0.1612,21,57.14,103546629
150,0.01,0.05,0,4,1197.93,9.98,-61.96,0.1611,24,45.83,129793375
200,0.01,0.01,2,0,790.43,8.45,-52.64,0.1606,36,36.11,89043316
150,0.05,0.03,3,8,661.76,7.83,-48.79,0.1604,18,61.11,76176403
200,0.03,0.01,3,4,684.61,7.95,-49.6,0.1602,25,44.0,78461322
100,0.05,0.03,3,8,403.45,6.18,-38.65,0.16,24,45.83,50344540
150,0.05,0.03,3,12,651.96,7.78,-48.79,0.1594,18,61.11,75196338
150,0.03,0.01,2,0,520.27,7.01,-44.0,0.1593,37,37.84,62027000
100,0.01,0.03,3,0,584.81,7.4,-46.48,0.1593,40,42.5,68480518
150,0.01,0.05,0,8,1139.51,9.79,-61.96,0.1581,24,45.83,123950867
100,0.01,0.01,2,8,430.24,6.39,-40.43,0.158,52,48.08,53024160
100,0.01,0.03,2,0,588.4,7.42,-47.05,0.1578,42,42.86,68840119
200,0.03,0.01,0,4,744.92,8.24,-52.27,0.1577,29,37.93,84491792
150,0.01,0.01,3,4,542.47,7.15,-45.38,0.1575,38,42.11,64246640
100,0.01,0.03,5,0,603.43,7.51,-47.73,0.1573,38,47.37,70342526
150,0.01,0.05,0,0,1228.51,10.08,-64.05,0.1573,26,42.31,132851272
100,0.05,0.05,5,8,644.45,7.74,-49.24,0.1571,16,68.75,74445016
150,0.05,0.01,3,12,455.42,6.57,-41.88,0.1569,23,52.17,55541639
150,0.03,0.03,2,12,753.51,8.28,-53.1,0.156,22,50.0,85350729
100,0.01,0.01,3,0,413.02,6.26,-40.15,0.1558,64,42.19,51301932
150,0.05,0.03,0,0,868.06,8.79,-56.45,0.1557,23,52.17,96805798
200,0.05,0.01,0,12,626.11,7.64,-49.28,0.155,24,45.83,72611326
200,0.03,0.01,0,12,762.63,8.33,-53.77,0.1549,27,40.74,86262537
100,0.01,0.01,2,12,397.21,6.13,-39.71,0.1545,48,50.0,49720609
150,0.05,0.01,5,8,457.7,6.59,-42.67,0.1544,23,56.52,55769594
200,0.03,0.01,3,8,640.82,7.72,-50.14,0.1539,24,45.83,74081716
150,0.01,0.03,2,8,803.27,8.51,-55.33,0.1538,26,46.15,90326929
100,0.03,0.05,3,8,808.43,8.53,-55.51,0.1538,21,52.38,90842899
100,0.03,0.03,0,8,630.83,7.66,-49.94,0.1534,33,45.45,73082873
150,0.01,0.01,3,8,516.36,6.98,-45.53,0.1534,36,38.89,61635824
200,0.03,0.01,5,8,699.59,8.02,-52.38,0.1531,23,47.83,79959274
200,0.03,0.01,2,4,629.59,7.65,-50.0,0.1531,27,40.74,72958846
150,0.01,0.03,2,12,780.51,8.41,-54.96,0.153,26,46.15,88050586
200,0.03,0.01,0,8,737.28,8.21,-53.77,0.1526,28,39.29,83728208
100,0.01,0.03,3,4,608.27,7.54,-49.45,0.1524,36,41.67,70826993
200,0.03,0.01,5,12,691.88,7.98,-52.38,0.1524,23,47.83,79188072
