Date,equity,position,buy_buffer_pct,sell_buffer_pct,upper_band,lower_band
2024-02-13,77255774.0,182263,0.03,0.05,382.175261,352.491746
2024-02-14,78097650.0,182263,0.03,0.05,382.763988,353.034746
2024-02-15,78330202.0,182263,0.03,0.05,383.359933,353.584404
2024-02-16,77619928.0,182263,0.03,0.05,383.910009,354.091756
2024-02-20,77034036.0,182263,0.03,0.05,384.421666,354.563673
2024-02-21,76725772.0,182263,0.03,0.05,384.910899,355.014907
2024-02-22,78971960.0,182263,0.03,0.05,385.521568,355.578145
2024-02-23,78739420.0,182263,0.03,0.05,386.113085,356.123719
2024-02-26,78697943.0,182263,0.03,0.05,386.696384,356.661713
2024-02-27,78887236.0,182263,0.03,0.05,387.284523,357.204172
2024-02-28,78467199.0,182263,0.03,0.05,387.843191,357.719448
2024-02-29,79139617.0,182263,0.03,0.05,388.43411,358.264471
2024-03-01,80331212.0,182263,0.03,0.05,389.086154,358.86587
2024-03-04,80044574.0,182263,0.03,0.05,389.715592,359.44642
2024-03-05,78607807.0,182263,0.03,0.05,390.257977,359.946678
2024-03-06,79101755.0,182263,0.03,0.05,390.82274,360.467576
2024-03-07,80302366.0,182263,0.03,0.05,391.449394,361.045558
2024-03-08,79143215.0,182263,0.03,0.05,392.004633,361.557672
2024-03-11,78849380.0,182263,0.03,0.05,392.537825,362.049451
2024-03-12,79979691.0,182263,0.03,0.05,393.12927,362.594958
2024-03-13,79364959.0,182263,0.03,0.05,393.680263,363.103155
2024-03-14,79164858.0,182263,0.03,0.05,394.214521,363.595918
2024-03-15,78223841.0,182263,0.03,0.05,394.69055,364.034973
2024-03-18,78969891.0,182263,0.03,0.05,395.203793,364.508352
2024-03-19,79166644.0,182263,0.03,0.05,395.722992,364.987226
2024-03-20,80105291.0,182263,0.03,0.05,396.289806,365.510015
2024-03-21,80484363.0,182263,0.03,0.05,396.872296,366.047263
2024-03-22,80576434.0,182263,0.03,0.05,397.454166,366.58394
2024-03-25,80284006.0,182263,0.03,0.05,398.013804,367.10011
2024-03-26,80024066.0,182263,0.03,0.05,398.553256,367.597664
2024-03-27,80296637.0,182263,0.03,0.05,399.102668,368.104403
2024-03-28,80148615.0,182263,0.03,0.05,399.63829,368.598422
