Date,equity,active_tranches,avg_entry_price,ma250_equity,ma250_position,ma200_equity,ma200_position,ma150_equity,ma150_position,drawdown_pct
2014-02-18,44994611,3,0.38885905035242235,7814687,5932099,18223903,13833696,18956022,14389445,-19.37
2014-02-19,44009950,3,0.38885905035242235,7643670,5932099,17825091,13833696,18541189,14389445,-21.14
2014-02-20,44648277,3,0.38885905035242235,7754535,5932099,18083629,13833696,18810113,14389445,-19.99
2014-02-21,44417388,3,0.38885905035242235,7714434,5932099,17990113,13833696,18712840,14389445,-20.41
2014-02-24,45198347,3,0.38885905035242235,7850072,5932099,18306421,13833696,19041855,14389445,-19.01
2014-02-25,45035358,3,0.38885905035242235,7821764,5932099,18240406,13833696,18973188,14389445,-19.3
2014-02-26,44885929,3,0.38885905035242235,7795811,5932099,18179884,13833696,18910235,14389445,-19.57
2014-02-27,45768740,3,0.38885905035242235,7949138,5932099,18537443,13833696,19282159,14389445,-17.98
2014-02-28,45537850,3,0.38885905035242235,7909037,5932099,18443928,13833696,19184886,14389445,-18.4
2014-03-03,44539629,3,0.38885905035242235,7735665,5932099,18039624,13833696,18764340,14389445,-20.19
2014-03-04,46332335,3,0.38885905035242235,8047023,5932099,18765713,13833696,19519599,14389445,-16.97
2014-03-05,46712620,3,0.38885905035242235,8113071,5932099,18919738,13833696,19679811,14389445,-16.29
2014-03-06,46536071,3,0.38885905035242235,8082408,5932099,18848231,13833696,19605432,14389445,-16.61
2014-03-07,45870590,3,0.38885905035242235,7966827,5932099,18578695,13833696,19325068,14389445,-17.8
2014-03-10,45965645,3,0.38885905035242235,7983336,5932099,18617195,13833696,19365114,14389445,-17.63
2014-03-11,45395218,3,0.38885905035242235,7884264,5932099,18386158,13833696,19124796,14389445,-18.65
2014-03-12,45904541,3,0.38885905035242235,7972724,5932099,18592446,13833696,19339371,14389445,-17.74
2014-03-13,43955643,3,0.38885905035242235,7634238,5932099,17803095,13833696,18518309,14389445,-21.23
2014-03-14,43052476,3,0.38885905035242235,7477376,5932099,17437291,13833696,18137809,14389445,-22.85
2014-03-17,44200126,3,0.38885905035242235,7676700,5932099,17902117,13833696,18621309,14389445,-20.79
2014-03-18,45789096,3,0.38885905035242235,7952673,5932099,18545688,13833696,19290735,14389445,-17.95
2014-03-19,45035358,3,0.38885905035242235,7821764,5932099,18240406,13833696,18973188,14389445,-19.3
2014-03-20,45388455,3,0.38885905035242235,7883090,5932099,18383419,13833696,19121947,14389445,-18.67
2014-03-21,43724753,3,0.38885905035242235,7594137,5932099,17709580,13833696,18421037,14389445,-21.65
2014-03-24,42624681,3,0.38885905035242235,7403076,5932099,17264024,13833696,17957581,14389445,-23.62
