Date,equity,cash,rebalanced,rebalance_reason,spy_value,spy_weight,spy_signal,spy_shares,spy_avg_price,spy_realized_pnl,spy_unrealized_pnl,tqqq_value,tqqq_weight,tqqq_signal,tqqq_shares,tqqq_avg_price,tqqq_realized_pnl,tqqq_unrealized_pnl,gld_value,gld_weight,gld_signal,gld_shares,gld_avg_price,gld_realized_pnl,gld_unrealized_pnl,tlt_value,tlt_weight,tlt_signal,tlt_shares,tlt_avg_price,tlt_realized_pnl,tlt_unrealized_pnl,drawdown_pct,spy_current_price,spy_return_pct,spy_contribution,tqqq_current_price,tqqq_return_pct,tqqq_contribution,gld_current_price,gld_return_pct,gld_contribution,tlt_current_price,tlt_return_pct,tlt_contribution,total_pnl,total_return_pct
2024-04-05,97347222,403,False,,29235099,0.3003,buy,57764,398.954812,9809544,6189874,28387020,0.2916,buy,966264,12.870174,49376523,15951034,20323200,0.2088,buy,94465,161.292484,2095450,5086705,19401500,0.1993,buy,231190,101.080269,2805340,-3967248,-0.82,506.112793,26.859678641414963,15999418,29.37812,128.26513233657394,65327557,215.139999,33.38501184338261,7182155,83.920151,-16.9767239435493,-1161908,87347221.69599245,873.4722169599246
2024-04-08,97507003,403,False,,29251451,0.3,buy,57764,398.954812,9809544,6206225,28405988,0.2913,buy,966264,12.870174,49376523,15970003,20449783,0.2097,buy,94465,161.292484,2095450,5213288,19399378,0.199,buy,231190,101.080269,2805340,-3969370,-0.66,506.395874,26.930634296332556,16015770,29.397751,128.417663295427,65346526,216.479996,34.21579884973143,7308738,83.910973,-16.985803856044292,-1164030,87507003.27024546,875.0700327024547
2024-04-09,98127719,403,False,,29285287,0.2984,buy,57764,398.954812,9809544,6240061,28700004,0.2925,buy,966264,12.870174,49376523,16264018,20562196,0.2095,buy,94465,161.292484,2095450,5325702,19579829,0.1995,buy,231190,101.080269,2805340,-3788918,-0.03,506.981628,27.077456438018533,16049605,29.702032,130.78189704260018,65640542,217.669998,34.95359020234572,7421151,84.691505,-16.21361359024157,-983579,88127719.27249545,881.2771927249545
2024-04-10,96459160,403,False,,28992049,0.3006,buy,57764,398.954812,9809544,5946823,27945992,0.2897,buy,966264,12.870174,49376523,15510006,20367599,0.2112,buy,94465,161.292484,2095450,5131104,19153117,0.1986,buy,231190,101.080269,2805340,-4215630,-1.73,501.905151,25.805012331175845,15756368,28.921694,124.71874675125218,64886529,215.610001,33.67640917827066,7226554,82.845787,-18.039605955726724,-1410290,86459159.97681046,864.5915997681046
2024-04-11,98300326,403,False,,29210848,0.2972,buy,57764,398.954812,9809544,6165623,29259590,0.2977,buy,966264,12.870174,49376523,16823604,20763407,0.2112,buy,94465,161.292484,2095450,5526913,19066077,0.194,buy,231190,101.080269,2805340,-4302670,0.0,505.692963,26.75444617224869,15975167,30.281155,135.28162637293696,66200127,219.800003,36.2741756047444,7622362,82.469299,-18.41207033744525,-1497331,88300325.65109245,883.0032565109245
2024-04-12,96310947,403,False,,28807648,0.2991,buy,57764,398.954812,9809544,5762422,27846403,0.2891,buy,966264,12.870174,49376523,15410417,20488514,0.2127,buy,94465,161.292484,2095450,5252019,19167980,0.199,buy,231190,101.080269,2805340,-4200768,-2.02,498.71283,25.004841259072098,15571966,28.818628,123.91793396509017,64786940,216.889999,34.46999730313396,7347469,82.910072,-17.976007985064246,-1395428,86310946.84136246,863.1094684136245
2024-04-15,94637396,403,False,,28446743,0.3006,buy,57764,398.954812,9809544,5401517,26447443,0.2795,buy,966264,12.870174,49376523,14011457,20872041,0.2205,buy,94465,161.292484,2095450,5635547,18870766,0.1994,buy,231190,101.080269,2805340,-4497982,-3.73,492.464905,23.438767908154713,15211061,27.370825,112.66864560381013,63387980,220.949997,36.9871623297737,7730996,81.624489,-19.247851648721138,-1692642,84637395.56097046,846.3739556097046
2024-04-16,94490515,403,False,,28394863,0.3005,buy,57764,398.954812,9809544,5349637,26452186,0.2799,buy,966264,12.870174,49376523,14016200,20897547,0.2212,buy,94465,161.292484,2095450,5661053,18745515,0.1984,buy,231190,101.080269,2805340,-4623232,-3.88,491.566772,23.213646422720835,15159181,27.375734,112.70678805590171,63392724,221.220001,37.154562566387824,7756502,81.082726,-19.783824696555286,-1817892,84490514.93622446,844.9051493622446
2024-04-17,93394887,403,False,,28226814,0.3022,buy,57764,398.954812,9809544,5181588,25470543,0.2727,buy,966264,12.870174,49376523,13034557,20743569,0.2221,buy,94465,161.292484,2095450,5507074,18953558,0.2029,buy,231190,101.080269,2805340,-4415189,-4.99,488.657532,22.484431005534677,14991132,26.359818,104.81321963890147,62411081,219.58999600000004,36.14397300963243,7602524,81.982605,-18.893562920996708,-1609849,83394887.14272547,833.9488714272546
2024-04-18,92856870,403,False,,28168732,0.3034,buy,57764,398.954812,9809544,5123507,25015290,0.2694,buy,966264,12.870174,49376523,12579304,20814418,0.2242,buy,94465,161.292484,2095450,5577923,18858027,0.2031,buy,231190,101.080269,2805340,-4510720,-5.54,487.652039,22.232399204283215,14933051,25.88867,101.15244554681824,61955827,220.33999600000004,36.60896677809728,7673373,81.56938899999999,-19.302362781699333,-1705381,82856869.83696146,828.5686983696147
