date,asset_id,pre_shares,post_shares,pre_weight_pct,post_weight_pct,pre_value,post_value,delta_shares,delta_value,rebalance_reason
2018-04-03,gld,59207,52592,22.49,19.66,7534682,6642369,-6615,-892313,monthly
2018-04-03,tlt,77428,68867,22.47,19.66,7526180,6642403,-8561,-883777,monthly
2018-04-03,cash,0,0,0.0,0.0,385,3,0,-382,monthly
2018-06-04,spy,44174,46061,28.76,29.91,10680296,11189443,1887,509147,monthly
2018-06-04,tqqq,1915791,1597148,36.01,30.57,13372782,11434471,-318643,-1938311,monthly
2018-06-04,gld,52592,60581,17.35,19.82,6441993,7413297,7989,971304,monthly
2018-06-04,tlt,68867,77044,17.87,19.71,6637204,7371581,8177,734377,monthly
2018-06-04,cash,0,0,0.0,0.0,3,353,0,350,monthly
2018-09-05,spy,46061,46374,29.8,30.32,11849306,11897717,313,48411,monthly
2018-09-05,tqqq,1597148,1397466,34.24,29.15,13616911,11440827,-199682,-2176084,monthly
2018-09-05,gld,60581,70360,17.2,20.32,6841412,7973195,9779,1131783,monthly
2018-09-05,tlt,77044,82148,18.76,20.21,7458758,7931682,5104,472924,monthly
2018-09-05,cash,0,0,0.0,0.0,353,217,0,-136,monthly
2018-10-25,spy,46374,44342,31.38,29.62,10971153,10678626,-2032,-292527,daily
2018-10-25,tqqq,1397466,1778350,23.34,31.75,8158677,11447752,380884,3289075,daily
2018-10-25,gld,70360,59897,23.48,19.34,8208197,6972010,-10463,-1236187,daily
2018-10-25,tlt,82148,75324,21.8,19.3,7621997,6959615,-6824,-662382,daily
2018-10-25,cash,0,0,0.0,0.0,217,1,0,-216,daily
2018-11-21,spy,44342,44342,31.27,31.04,10442976,10478560,0,35584,
2018-11-21,tqqq,1778350,0,26.95,0.0,8998603,0,-1778350,-8998603,
2018-11-21,gld,59897,59897,20.75,20.56,6928285,6939666,0,11381,
2018-11-21,tlt,75324,75324,21.03,20.8,7022892,7020449,0,-2443,
2018-11-21,cash,0,0,0.0,27.6,1,9316510,0,9316509,
2018-12-18,spy,44342,0,29.9,0.0,10096615,0,-44342,-10096615,
2018-12-18,tqqq,0,0,0.0,0.0,0,0,0,0,
2018-12-18,gld,59897,59897,20.91,20.9,7060059,7076830,0,16771,
2018-12-18,tlt,75324,75324,21.59,21.66,7290636,7334296,0,43660,
2018-12-18,cash,0,0,27.59,57.45,9316510,19455370,0,10138860,
2019-02-22,spy,0,41218,0.0,29.96,0,10319186,41218,10319186,daily
2019-02-22,tqqq,0,0,0.0,0.0,0,0,0,0,daily
2019-02-22,gld,59897,54980,21.79,20.03,7490120,6899990,-4917,-590130,daily
2019-02-22,tlt,75324,69728,21.61,20.08,7427698,6916843,-5596,-510855,daily
2019-02-22,cash,0,0,56.6,29.93,19455370,10311786,0,-9143584,daily
2019-02-28,spy,41218,41141,30.06,30.02,10321405,10282932,-77,-38473,daily
2019-02-28,tqqq,0,1688289,0.0,30.06,0,10297597,1688289,10297597,daily
2019-02-28,gld,54980,55081,19.96,19.94,6855456,6829493,101,-25963,daily
2019-02-28,tlt,69728,69891,19.95,19.98,6851978,6844614,163,-7364,daily
2019-02-28,cash,0,0,30.03,0.0,10311786,93,0,-10311693,daily
