Date,equity,cash,rebalanced,rebalance_reason,sso_value,sso_weight,sso_signal,sso_shares,sso_avg_price,sso_realized_pnl,sso_unrealized_pnl,qld_value,qld_weight,qld_signal,qld_shares,qld_avg_price,qld_realized_pnl,qld_unrealized_pnl,ugl_value,ugl_weight,ugl_signal,ugl_shares,ugl_avg_price,ugl_realized_pnl,ugl_unrealized_pnl,ubt_value,ubt_weight,ubt_signal,ubt_shares,ubt_avg_price,ubt_realized_pnl,ubt_unrealized_pnl,drawdown_pct
2010-07-20,9766335,3292578,False,,0,0.0,sell,0,0.0,-448174,0,3700172,0.3789,buy,4283568,0.950632,0,-371923,1400533,0.1434,buy,109545,11.078135,55979,186979,1373052,0.1406,buy,77176,14.521906,91164,252310,-10.68
2010-07-21,9698253,3292578,False,,0,0.0,sell,0,0.0,-448174,0,3603967,0.3716,buy,4283568,0.950632,0,-468128,1381636,0.1425,buy,109545,11.078135,55979,168082,1420072,0.1464,buy,77176,14.521906,91164,299329,-11.31
2010-07-22,9870670,3292578,False,,0,0.0,sell,0,0.0,-448174,0,3784592,0.3834,buy,4283568,0.950632,0,-287503,1405188,0.1424,buy,109545,11.078135,55979,191634,1388311,0.1407,buy,77176,14.521906,91164,267568,-9.73
2010-07-23,9870661,3292578,False,,0,0.0,sell,0,0.0,-448174,0,3833018,0.3883,buy,4283568,0.950632,0,-239077,1387114,0.1405,buy,109545,11.078135,55979,173559,1357951,0.1376,buy,77176,14.521906,91164,237208,-9.73
2010-07-26,9911347,3292578,False,,0,0.0,sell,0,0.0,-448174,0,3892572,0.3927,buy,4283568,0.950632,0,-179523,1373694,0.1386,buy,109545,11.078135,55979,160140,1352502,0.1365,buy,77176,14.521906,91164,231759,-9.36
2010-07-27,9837680,3292578,False,,0,0.0,sell,0,0.0,-448174,0,3889955,0.3954,buy,4283568,0.950632,0,-182140,1325221,0.1347,buy,109545,11.078135,55979,111666,1329926,0.1352,buy,77176,14.521906,91164,209183,-10.03
2010-07-28,9787921,3292578,False,,0,0.0,sell,0,0.0,-448174,0,3830396,0.3913,buy,4283568,0.950632,0,-241699,1330972,0.136,buy,109545,11.078135,55979,117417,1333974,0.1363,buy,77176,14.521906,91164,213232,-10.49
2010-07-29,9743934,3292578,False,,0,0.0,sell,0,0.0,-448174,0,3772808,0.3872,buy,4283568,0.950632,0,-299287,1341926,0.1377,buy,109545,11.078135,55979,128372,1336621,0.1372,buy,77176,14.521906,91164,215878,-10.89
2010-07-30,9830276,3292578,False,,0,0.0,sell,0,0.0,-448174,0,3791789,0.3857,buy,4283568,0.950632,0,-280306,1369586,0.1393,buy,109545,11.078135,55979,156032,1376322,0.14,buy,77176,14.521906,91164,255580,-10.1
2010-08-02,9934888,3292578,False,,0,0.0,sell,0,0.0,-448174,0,3930529,0.3956,buy,4283568,0.950632,0,-141566,1370956,0.138,buy,109545,11.078135,55979,157401,1340825,0.135,buy,77176,14.521906,91164,220082,-9.14
