이평기간,버퍼존,유지일,조정기간,수익률,CAGR,MDD,거래수,승률,최종자본
250,0.02,5,2,1120.05,9.79,-44.28,22,59.09,122004555.73
200,0.05,3,4,1115.39,9.78,-42.11,15,66.67,121538982.43
150,0.04,5,2,1115.35,9.78,-41.25,17,70.59,121535133.2
250,0.04,2,8,1115.34,9.78,-45.05,15,73.33,121534313.73
150,0.04,0,12,1113.01,9.77,-59.19,20,60.0,121301378.11
250,0.04,5,4,1111.51,9.76,-47.64,15,73.33,121150870.14
250,0.04,1,2,1108.84,9.75,-43.29,17,64.71,120884158.36
150,0.05,5,2,1108.55,9.75,-40.97,16,68.75,120854652.54
250,0.04,2,10,1106.93,9.75,-45.05,15,73.33,120693439.13
250,0.04,2,12,1106.93,9.75,-45.05,15,73.33,120693439.13
250,0.02,2,6,1106.79,9.75,-44.7,23,56.52,120679111.6
150,0.04,1,12,1100.96,9.73,-55.9,19,63.16,120095697.16
250,0.04,3,8,1100.5,9.73,-45.1,15,73.33,120049954.38
150,0.05,4,2,1099.09,9.72,-43.89,16,68.75,119909318.62
200,0.04,3,12,1099.05,9.72,-48.32,17,64.71,119904642.77
200,0.04,5,12,1098.21,9.72,-44.33,17,64.71,119821287.27
200,0.03,3,4,1097.38,9.72,-43.46,21,61.9,119737718.66
150,0.03,4,12,1095.57,9.71,-49.76,20,60.0,119556599.25
200,0.04,0,0,1093.04,9.7,-55.56,21,57.14,119304435.98
150,0.04,5,8,1092.85,9.7,-41.03,17,70.59,119285301.18
150,0.04,5,4,1092.85,9.7,-41.03,17,70.59,119285301.18
150,0.04,5,6,1092.85,9.7,-41.03,17,70.59,119285301.18
250,0.03,2,6,1091.23,9.69,-45.91,17,64.71,119122983.4
150,0.04,4,10,1089.91,9.69,-42.4,17,70.59,118990557.01
200,0.01,5,12,1089.46,9.69,-41.7,26,53.85,118946133.57
150,0.03,4,0,1088.07,9.68,-46.88,23,56.52,118806953.8
250,0.04,3,12,1086.96,9.68,-45.1,15,73.33,118696329.65
250,0.04,3,10,1086.96,9.68,-45.1,15,73.33,118696329.65
150,0.05,3,4,1084.85,9.67,-44.8,16,68.75,118484735.14
250,0.01,0,8,1084.65,9.67,-41.41,33,42.42,118464966.04
250,0.03,0,2,1084.53,9.67,-39.36,20,55.0,118453481.84
200,0.03,3,6,1083.49,9.67,-43.46,21,61.9,118348924.12
250,0.02,1,0,1082.24,9.66,-39.47,29,44.83,118223817.48
150,0.03,5,4,1081.89,9.66,-46.27,21,61.9,118189285.64
150,0.04,1,2,1081.75,9.66,-58.21,21,61.9,118175415.06
250,0.02,2,8,1080.95,9.66,-44.7,23,56.52,118095262.43
250,0.03,2,10,1079.36,9.65,-45.91,17,64.71,117936085.77
250,0.03,2,8,1079.36,9.65,-45.91,17,64.71,117936085.77
200,0.02,4,4,1079.1,9.65,-48.89,22,59.09,117910251.52
250,0.02,3,12,1077.42,9.65,-43.36,20,65.0,117741892.13
150,0.03,5,10,1077.09,9.65,-46.27,20,60.0,117709484.02
250,0.05,1,0,1077.01,9.65,-43.93,14,78.57,117701462.97
250,0.05,1,2,1077.01,9.65,-43.93,14,78.57,117701462.97
