Date,equity,position,buffer_zone_pct,upper_band,lower_band,drawdown_pct
2022-05-11,431579730,0,0.04,356.168805,328.771205,-39.38
2022-05-12,431579730,0,0.04,355.366866,328.030953,-39.38
2022-05-13,431579730,0,0.04,354.720658,327.434454,-39.38
2022-05-16,431579730,0,0.04,354.035939,326.802405,-39.38
2022-05-17,431579730,0,0.04,353.464247,326.27469,-39.38
2022-05-18,431579730,0,0.04,352.697996,325.567381,-39.38
2022-05-19,431579730,0,0.04,351.920913,324.850074,-39.38
2022-05-20,431579730,0,0.04,351.142019,324.131095,-39.38
2022-05-23,431579730,0,0.04,350.437994,323.481226,-39.38
2022-05-24,431579730,0,0.04,349.659376,322.762501,-39.38
2022-05-25,431579730,0,0.04,348.945133,322.1032,-39.38
2022-05-26,431579730,0,0.04,348.34888,321.552813,-39.38
2022-05-27,431579730,0,0.04,347.891917,321.131,-39.38
2022-05-31,431579730,0,0.04,347.429977,320.704594,-39.38
2022-06-01,431579730,0,0.04,346.943494,320.255533,-39.38
2022-06-02,431579730,0,0.04,346.576153,319.916449,-39.38
2022-06-03,431579730,0,0.04,346.103668,319.480309,-39.38
2022-06-06,431579730,0,0.04,345.651159,319.062608,-39.38
2022-06-07,431579730,0,0.04,345.240282,318.683337,-39.38
2022-06-08,431579730,0,0.04,344.804857,318.281406,-39.38
2022-06-09,431579730,0,0.04,344.264384,317.782508,-39.38
2022-06-10,431579730,0,0.04,343.589053,317.159126,-39.38
2022-06-13,431579730,0,0.04,342.742053,316.37728,-39.38
2022-06-14,431579730,0,0.04,341.912996,315.611997,-39.38
2022-06-15,431579730,0,0.04,341.187581,314.942382,-39.38
2022-06-16,431579730,0,0.04,340.318326,314.139993,-39.38
2022-06-17,431579730,0,0.04,339.504965,313.389199,-39.38
2022-06-21,431579730,0,0.04,338.795579,312.734381,-39.38
2022-06-22,431579730,0,0.04,338.090065,312.083137,-39.38
2022-06-23,431579730,0,0.04,337.450217,311.492508,-39.38
2022-06-24,431579730,0,0.04,336.950353,311.031095,-39.38
2022-06-27,431579730,0,0.04,336.428007,310.548929,-39.38
2022-06-28,431579730,0,0.04,335.792522,309.962328,-39.38
2022-06-29,431579730,0,0.04,335.168957,309.38673,-39.38
2022-06-30,431579730,0,0.04,334.506222,308.774974,-39.38
2022-07-01,431579730,0,0.04,333.877192,308.194331,-39.38
2022-07-05,431579730,0,0.04,333.321576,307.681454,-39.38
2022-07-06,431579730,0,0.04,332.798111,307.198256,-39.38
2022-07-07,431579730,0,0.04,332.364851,306.798324,-39.38
2022-07-08,431579730,0,0.04,331.942314,306.40829,-39.38
2022-07-11,431579730,0,0.04,331.440352,305.94494,-39.38
2022-07-12,431579730,0,0.04,330.907309,305.4529,-39.38
2022-07-13,431579730,0,0.04,330.373376,304.96004,-39.38
2022-07-14,431579730,0,0.04,329.860259,304.486393,-39.38
2022-07-15,431579730,0,0.04,329.424005,304.083697,-39.38
2022-07-18,431579730,0,0.04,328.960248,303.655613,-39.38
2022-07-19,431579730,0,0.04,328.622554,303.343896,-39.38
