Date,equity,cash,rebalanced,rebalance_reason,qld_value,qld_weight,qld_signal,qld_shares,qld_avg_price,qld_realized_pnl,qld_unrealized_pnl,drawdown_pct,qld_current_price,qld_return_pct,qld_contribution,total_pnl,total_return_pct
2011-08-30,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-08-31,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-09-01,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-09-02,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-09-06,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-09-07,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-09-08,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-09-09,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-09-12,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-09-13,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-09-14,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-09-15,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-09-16,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-09-19,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-09-20,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-09-21,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-09-22,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-09-23,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-09-26,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-09-27,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-09-28,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-09-29,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-09-30,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-10-03,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-10-04,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-10-05,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-10-06,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-10-07,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-10-10,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-10-11,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-10-12,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-10-13,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-10-14,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-10-17,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-10-18,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-10-19,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-10-20,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-10-21,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-10-24,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-10-25,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-10-26,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-10-27,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-10-28,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-10-31,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-11-01,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-11-02,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-11-03,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-11-04,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-11-07,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-11-08,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-11-09,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-11-10,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-11-11,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-11-14,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-11-15,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-11-16,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
