entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,hold_days_used,asset_id,trade_type,holding_days
2021-05-21,2022-07-07,177.109742,161.942703,115869,-1757390,-0.0856,3,gld,2022-07-06,412
2023-03-22,2023-07-05,12.471686,19.696835,3225610,23305511,0.5793,3,tqqq,2023-07-03,105
2023-08-02,2024-02-02,21.260649,26.90295,2385527,13459862,0.2654,3,tqqq,2024-02-01,184
2023-12-20,2024-04-16,90.766556,80.932673,227514,-2237346,-0.1083,3,tlt,2024-04-15,118
2024-03-04,2024-07-02,30.944573,36.489721,1862935,10330251,0.1792,3,tqqq,2024-07-01,120
2024-08-02,2024-12-03,29.475179,40.307876,2165123,23454120,0.3675,3,tqqq,2024-12-02,123
2024-08-07,2024-12-30,89.922839,83.239137,254509,-1701062,-0.0743,3,tlt,2024-12-27,145
2025-01-03,2025-04-04,39.784948,22.80448,1874160,-31824114,-0.4268,3,tqqq,2025-04-03,91
2023-02-07,2025-04-07,394.211622,483.511633,50782,4534833,0.2265,3,spy,2025-04-04,790
2025-05-16,2025-11-04,35.472617,56.421614,1774783,37179924,0.5906,3,tqqq,2025-11-03,172
2023-01-06,2025-12-02,172.275275,387.703385,144928,31221565,1.2505,3,gld,2025-12-01,1061
